subcategory,rank,year,name,show,affiliation,title
Best National Television Cooking Show,Nominee,1999,Robert Bates,NA,"WTTW-PBS, Honolulu",The Kitchen Sessions with Charlie Trotter
Best Local T.V. Cooking Show or Segment,Nominee,1999,Danielle Daly,NA,"Bay TV, San Francisco",Bay Cafe
Best National Television Cooking Show,Winner,1999,Peter Stein,NA,KQED-PBS,Jacques Pepin's Kitchen: Encore with Claudine
Best National T.V. Food Journalism,Nominee,1999,Karen Katz,NA,Food Network,The Making of Emeril Live
Best National T.V. Food Journalism,Winner,1999,Christine Rylko,NA,KCTS-PBS,Great Food
Best National Television Cooking Show,Winner,1999,Peggy Lee Scott,NA,KQED-PBS,Jacques Pepin's Kitchen: Encore with Claudine
Best National Television Cooking Show,Nominee,1999,Georgia Downard,NA,Food Network,Cooking Live
Best National T.V. Food Journalism,Winner,1999,Great Food,NA,KCTS-PBS,Great Food
Best Radio Segment,Winner,1999,Liane Hansen,NA,NPR,"Weekend Edition, Sunday"
Best Radio Segment,Winner,1999,Robert Malesky,NA,NPR,"Weekend Edition, Sunday"
Best Radio Segment,Winner,1999,Carline Windall,NA,NPR,"Weekend Edition, Sunday"
Best National T.V. Food Journalism,Nominee,1999,Emeril Lagasse,NA,Food Network,The Making of Emeril Live
Best Radio Show,Nominee,1999,Darryl Benson,NA,KRLD,The KRLD Restaurant Show with Jim White
Best Radio Show,Winner,1999,Bloomberg Executive Dining Guide,NA,"WBBR, New York",Bloomberg Executive Dining Guide
Best National Television Cooking Show,Winner,1999,Jacques Pépin,NA,KQED-PBS,Jacques Pepin's Kitchen: Encore with Claudine
Best National Television Cooking Show,Nominee,1999,Charlie Trotter,NA,"WTTW-PBS, Honolulu",The Kitchen Sessions with Charlie Trotter
Best Radio Show,Nominee,1999,Vicki Briley-White,NA,"KRLD, Dallas",The KRLD Restaurant Show with Jim White
Best Local T.V. Cooking Show or Segment,Winner,1999,Good Eating,NA,"CLTV, Oak Brook, IL",Good Eating
Best Local T.V. Cooking Show or Segment,Nominee,1999,Rose Levy Beranbaum,NA,"NJN, Trenton, NJ",Rose's Melting Pot
Best National Television Cooking Show,Nominee,1999,Sara Moulton,NA,Food Network,Cooking Live
Best Local T.V. Cooking Show or Segment,Nominee,1999,Janette Gitler,NA,"Bay TV, San Francisco",Bay Cafe
Best National T.V. Food Journalism,Nominee,1999,Carolyn ONeil,NA,CNN,On the Menu: Taste of Los Angeles
Best National T.V. Food Journalism,Winner,1999,John McEwen,NA,KCTS-PBS,Great Food
Best Local T.V. Cooking Show or Segment,Nominee,1999,Janice Selinger,NA,"NJN, Trenton, NJ",Rose's Melting Pot
Best Radio Segment,Nominee,1999,Steve Dolinsky,NA,"WEBZ, Chicago",Eight Forty-Eight
Best Radio Segment,Nominee,1999,Jim Jacob,NA,"X-BACH, San Rafael","Show:""Food Bites"""
Best Radio Show,Winner,1999,Lori Hoffman,NA,"WBBR, New York",Bloomberg Executive Dining Guide
Best T.V. Food Journalism,Winner,1998,Charles Gibson,NA,ABC,Good Morning America-ABC News Greenmarket
Best National T.V. Cooking Segment,Winner,1998,Carolyn Kelly,NA,CBS,Martha Stewart Living: Mrs. Maus's Fruitcake
Best National Television Cooking Show,Nominee,1998,Martin Yan,NA,PBS,Yan Can Cook: The Best of Asia
Best National T.V. Cooking Segment,Winner,1998,Martha Stewart,NA,CBS,Martha Stewart Living: Mrs. Maus's Fruitcake
Best National Television Cooking Show,Nominee,1998,Jacques Pépin,NA,"KQED, San Francisco",Jacques Pepin's Cooking Techniques
Best Local Radio Show,Winner,1998,Aaron Freeman,NA,WBEZ-Chicago,Metropolis
Best National Radio Show,Winner,1998,Sally Swift,NA,PRI,The Splendid Table
Best Local Radio Show,Winner,1998,Justin Kaufmann,NA,WBEZ-Chicago,Metropolis
Best National Radio Show,Nominee,1998,Jim Jacob,NA,XBACH,Food Bites
Best National Radio Show,Nominee,1998,Jimmy Gherardi,NA,X-Star,Everybody's Cooking
Best National Radio Show,Nominee,1998,Steve Bradford,NA,X-Star,Everybody's Cooking
Best Local Radio Show,Nominee,1998,Rachel Cane,NA,KTMS- Santa Barbara,A Matter of Taste
Best Local Radio Show,Winner,1998,Steve Dolinsky,NA,WBEZ-Chicago,Metropolis
Best Local Radio Show,Nominee,1998,Robin Pressman,NA,KRCB--Santa Rosa,Mouthful with Michele Anna Jordan
Best National Radio Show,Winner,1998,Tom Voegeli,NA,PRI,The Splendid Table
Best T.V. Food Journalism,Nominee,1998,Carolyn ONeil,NA,CNN,On the Menu: Culinary Happenings
Best National Radio Show,Winner,1998,Lynne Rossetto Kasper,NA,PRI,The Splendid Table
Best Local T.V. Cooking Show or Segment,Nominee,1998,Greg Janssen,NA,"CLTV, Oak Brook, IL",Thailand: The Exotic Kingdom
Best Local T.V. Cooking Show or Segment,Nominee,1998,Dennis Quintana,NA,"KVIA, El Paso, TX",Let's Get Cooking
Best Local Radio Show,Nominee,1998,Tom VanSant,NA,KTMS- Santa Barbara,A Matter of Taste
Best National Television Cooking Show,Nominee,1998,Gayle Yamada,NA,PBS,Yan Can Cook: The Best of Asia
Best National Television Cooking Show,Nominee,1998,DeAnne Hamilton D'Aria,NA,PBS,Yan Can Cook: The Best of Asia
Best National Television Cooking Show,Nominee,1998,Peter Stein,NA,"KQED, San Francisco",Jacques Pepin's Cooking Techniques
Best National Radio Show,Nominee,1998,Mary Garbesi,NA,XBACH,Food Bites
Best T.V. Food Journalism,Winner,1998,Margo Baumgart,NA,ABC,Good Morning America-ABC News Greenmarket
Best National Television Cooking Show,Winner,1998,John Potthast,NA,MPT,Pierre Franey's Cooking In Europe
Best National Television Cooking Show,Winner,1998,Charles Pinsky,NA,MPT,Pierre Franey's Cooking In Europe
Best National Radio Show,Nominee,1998,Arlyn Hackett,NA,XBACH,Food Bites
Best T.V. Food Journalism,Winner,1998,Good Morning America-ABC News Greenmarket,NA,ABC,Good Morning America-ABC News Greenmarket
Best National Television Cooking Show,Winner,1998,Pierre Franey's Cooking In Europe,NA,MPT,Pierre Franey's Cooking In Europe
Best National T.V. Cooking Segment,Winner,1998,Martha Stewart Living: Mrs. Maus's Fruitcake,NA,CBS,Martha Stewart Living: Mrs. Maus's Fruitcake
Best Local T.V. Cooking Show or Segment,Winner,1998,Good Eating,NA,"CLTV, Oak Brooks, IL",Good Eating
Best National Radio Show,Winner,1998,The Splendid Table,NA,PRI,The Splendid Table
Best Local Radio Show,Winner,1998,Metropolis,NA,WBEZ-Chicago,Metropolis
Best T.V. Food Journalism,Nominee,1998,Crissy Poorman,NA,CNN,On The Menu: Food Safety
Best National Television Cooking Show,Winner,1998,Pierre Franey,NA,MPT,Pierre Franey's Cooking In Europe
Best T.V. Food Journalism,Winner,1998,Shelley Lewis,NA,ABC,Good Morning America-ABC News Greenmarket
Best T.V. Food Journalism,Winner,1998,Mark Lukasiewicz,NA,ABC,Good Morning America-ABC News Greenmarket
Best Local T.V. Cooking Show or Segment,Nominee,1998,W. Park Kerr,NA,"KVIA, El Paso, TX",Let's Get Cooking
Best Local T.V. Cooking Show or Segment,Winner,1998,Steve Dolinsky,NA,"CLTV, Oak Brooks, IL",Good Eating
Best Local T.V. Cooking Show or Segment,Winner,1998,Nelson Howard,NA,"CLTV, Oak Brooks, IL",Good Eating
Best Local T.V. Cooking Show or Segment,Winner,1998,Stephanie Kurtz,NA,"CLTV, Oak Brooks, IL",Good Eating
Best Local Radio Show,Nominee,1998,David M. Cane,NA,KTMS- Santa Barbara,A Matter of Taste
Best Local Radio Show,Nominee,1998,Michele Anna Jordon,NA,KRCB--Santa Rosa,Mouthful with Michele Anna Jordan
Best Radio Show,Nominee,1997,Jennifer Ferro,NA,KCRW-FM,Good Food
Best Radio Show,Nominee,1997,Steve Knight,NA,"KIEV, Duarte, CA",Steve Knight's Broadcast Bistro
Best Radio Show,Nominee,1997,Lydia Pina,NA,"KIEV, Duarte, CA",Steve Knight's Broadcast Bistro
Best T.V. Food Journalism,Nominee,1997,Burt Wolf,NA,The Travel Channel,A Taste For Travel-Three Glorious Days at the Hospices des Beaune
Best T.V. Food Journalism,Nominee,1997,Emily Aronson,NA,The Travel Channel,A Taste For Travel-Three Glorious Days at the Hospices des Beaune
Best Local Television Cooking Show,Nominee,1997,Janis Murray,NA,KTVI-TV,Home Garden Kitchen
Best T.V. Food Journalism,Nominee,1997,Carolyn ONeil,NA,CNN,On the Menu
Best Radio Show,Nominee,1997,Mary Sue Milliken,NA,"KCRW-FM, Santa Monica, CA",Good Food
Best Local Television Cooking Show,Nominee,1997,Anne Semmer,NA,"KVIA, El Paso, TX",Let's Get Cooking
Best National T.V. Cooking Segment,Nominee,1997,Jeff Diamond,NA,Syndicated,"Martha Stewart Living: ""Prime Ribs"""
Best National Television Cooking Show,Nominee,1997,Sarah Kemp,NA,"KOPB, Honolulu, HI",New American Cuisine
Best National Television Cooking Show,Nominee,1997,Robert Bates,NA,"KOPB, Honolulu, HI",New American Cuisine
Best National Television Cooking Show,Winner,1997,Baking with Julia,NA,PBS,Baking with Julia
Best National T.V. Cooking Segment,Winner,1997,Jacques Pepin's Kitchen: Cooking with Claudine,NA,"KQED, San Francisco",Jacques Pepin's Kitchen: Cooking with Claudine
Best T.V. Food Journalism,Winner,1997,Jancis Robinson's Wine Course,NA,"WEDH, Hartford, CT",Jancis Robinson's Wine Course
Best National Television Cooking Show,Nominee,1997,Jacques Pépin,NA,PBS,Julia Child & Jacques Pepin: More Cooking in Concert
Best National Television Cooking Show,Winner,1997,Nat Katzman,NA,PBS,Baking with Julia
Best National T.V. Cooking Segment,Nominee,1997,Martha Stewart,NA,Syndicated,"Martha Stewart Living: ""Prime Ribs"""
Best Radio Show,Winner,1997,Laurann Claridge,NA,"KPRC, Houston, TX",Food Talk with Laurann Claridge
Best National Television Cooking Show,Winner,1997,Geoffrey Drummond,NA,PBS,Baking with Julia
Best T.V. Food Journalism,Winner,1997,Jancis Robinson,NA,"WEDH, Hartford, CT",Jancis Robinson's Wine Course
Best Local Television Cooking Show,Nominee,1997,W. Park Kerr,NA,"KVIA, El Paso , TX",Let's Get Cooking
Best Local Television Cooking Show,Nominee,1997,Park Kerr,NA,"KVIA, El Paso , TX",Let's Get Cooking
Best Local Television Cooking Show,Winner,1997,Steve Dolinsky,NA,"CLTV, Oak Brook, IL",Good Eating
Best National Television Cooking Show,Nominee,1997,Melanie Kosaka,NA,"KOPB, Honolulu, HI",New American Cuisine
Best Local Television Cooking Show,Winner,1997,Good Eating,NA,"CLTV, Oak Brook, IL",Good Eating
Best National Television Cooking Show,Nominee,1997,Julia Child,NA,PBS,Julia Child & Jacques Pepin: More Cooking in Concert
Best National T.V. Cooking Segment,Winner,1997,Peter Stein,NA,"KQED, San Francisco",Jacques Pepin's Kitchen: Cooking with Claudine
Best National T.V. Cooking Segment,Winner,1997,Jacques Pépin,NA,"KQED, San Francisco",Jacques Pepin's Kitchen: Cooking with Claudine
Best Radio Show,Nominee,1997,Susan Feniger,NA,"KCRW-FM, Santa Monica, CA",Good Food
Best National Television Cooking Show,Winner,1996,In Julia's Kitchen with Master Chefs,NA,"MPTV, Owings Mills, MD",In Julia's Kitchen with Master Chefs
Best Local Television Cooking Show,Winner,1996,Good Eating,NA,"CLTV, Oak Brook, IL",Good Eating
Best Radio Show,Winner,1996,Seasonings,NA,National Public Radio,Seasonings
Best National Television Cooking Show,Winner,1996,Geoffrey Drummond,NA,"MPTV, Owings Mills, MD",In Julia's Kitchen with Master Chefs
Best National Television Cooking Show,Nominee,1996,Jacques Pépin,NA,"KQED, San Francisco",Jacques Pepin's Cooking Techniques
Best Local Television Cooking Show,Winner,1996,Myke Motley,NA,"CLTV, Oak Brook, IL",Good Eating
Best Radio Show,Nominee,1996,Roberta Lasko,NA,"WABC, New York",The Food Show
Best Radio Show,Winner,1996,Vertamae Grosvenor,NA,National Public Radio,Seasonings
Best Radio Show,Winner,1996,Sandra Rattley-Lewis,NA,National Public Radio,Seasonings
Best T.V. Food Journalism,Winner,1996,Martin Yan,NA,"KQED, San Francisco, CA",Yan Can Cook: The Best of China
Best T.V. Food Journalism,Winner,1996,DeAnne Hamilton D'Aria,NA,"KQED, San Francisco, CA",Yan Can Cook: The Best of China
Best Radio Show,Nominee,1996,David M. Cane,NA,"WABC, New York",The Food Show
Best Local Television Cooking Show,Winner,1996,Steve Dolinsky,NA,"CLTV, Oak Brook, IL",Good Eating
Best National Television Cooking Show,Nominee,1996,Peter Stein,NA,"KQED, San Francisco",Jacques Pepin's Cooking Techniques
Best Radio Show,Nominee,1996,Susan Feniger,NA,"KCRW-FM, Santa Monica, CA",Good Food
Best Radio Show,Nominee,1996,Mary Sue Milliken,NA,"KCRW-FM, Santa Monica, CA",Good Food
Best National Television Cooking Show,Nominee,1996,David Rosengarten,NA,TV Food Network,Taste Quiche
Best Radio Show,Nominee,1996,Jennifer Ferro,NA,"KCRW-FM, Santa Monica, CA",Good Food
Best National Television Cooking Show,Winner,1996,Julia Child,NA,"MPTV, Owings Mills, MD",In Julia's Kitchen with Master Chefs
Best National Television Cooking Show,Nominee,1996,Martha Stewart,NA,Syndicated,Martha Stewart Living TV - Grilled Pizza
Best National Television Cooking Show,Nominee,1996,Wendy Waxman,NA,TV Food Network,Taste - Quiche
Best National Television Cooking Show,Nominee,1996,Leslie McNeil,NA,Syndicated,Martha Stewart Living TV - Grilled Pizza
Best Local Television Cooking Show,Nominee,1996,W. Park Kerr,NA,"KVIA, El Paso, TX",Let's Get Cooking
Best Local Television Cooking Show,Nominee,1996,Anne Semmer,NA,"KVIA, El Paso, TX",Let's Get Cooking
Best Local Television Cooking Show,Nominee,1996,Janis Murray,NA,"KTVI-TV, St. Louis, MO",Home Garden Kitchen
Best T.V. Food Journalism,Nominee,1996,Gail Greco,NA,"MPTV, Owings Mills, MD",Country Inn Cooking with Gail Greco
Best T.V. Food Journalism,Nominee,1996,John Potthast,NA,"MPTV, Owings Mills, MD",Country Inn Cooking with Gail Greco
Best T.V. Food Journalism,Nominee,1996,Burt Wolf,NA,"WKNO, Memphis, TN",Burt Wolf's Gatherings & Celebrations
Best T.V. Food Journalism,Nominee,1996,Emily Aronson,NA,"WKNO, Memphis, TN",Burt Wolf's Gatherings & Celebrations
Best T.V. Food Journalism,Winner,1996,Yan Can Cook: The Best of China,NA,"KQED, San Francisco, CA",Yan Can Cook: The Best of China
Best Culinary Video,Winner,1995,Julia Child,NA,"Julia Child and Jacques Pepin, Cooking in Concert",NA
Best T.V. Food Journalism,Winner,1995,Carolyn ONeil,NA,"CNN, National",CNN Presents: Food to Die For
Best T.V. Cooking Series,Nominee,1995,Caprial Pence,NA,The Learning Channel,Caprial's Cafe
Best T.V. Cooking Series,Nominee,1995,Charles A. Stewart,NA,The Learning Channel,Caprial's Cafe
Best T.V. Cooking Series,Nominee,1995,Mike Beck,NA,The Learning Channel,Caprial's Cafe
Best T.V. Cooking Series,Winner,1995,John Potthast,NA,Marland Public Television,Pierre Franey's Cooking in France
Best T.V. Cooking Series,Nominee,1995,Peter Stein,NA,"KQED, San Francisco",Today's Gourmet with Jacques Pepin
Best T.V. Cooking Series,Nominee,1995,Peggy Lee Scott,NA,"KQED, San Francisco",Today's Gourmet with Jacques Pepin
Best Culinary Video,Nominee,1995,Barry Chase,NA,Sunshine Cuisine,NA
Best Culinary Video,Nominee,1995,Joseph Jabaly,NA,Sunshine Cuisine,NA
Best Culinary Video,Nominee,1995,Merle Ellis,NA,Great Outdoor Cooking,NA
Best Culinary Video,Nominee,1995,John Shoup,NA,Great Outdoor Cooking,NA
Best Culinary Video,Nominee,1995,Jerry Beyer,NA,Great Outdoor Cooking,NA
Best Culinary Video,Nominee,1995,Jean-Pierre Brehier,NA,WPBT,Sunshine Cuisine
Best T.V. Food Journalism,Nominee,1995,Judy Woodruff,NA,"CNN, National",On the Menu
Best T.V. Food Journalism,Nominee,1995,Janis Murray,NA,"KTVI, St. Louis",Home Garden Kitchen
Best T.V. Food Journalism,Winner,1995,Stacy Jolna,NA,"CNN, National",CNN Presents: Food to Die For
Best Radio Show,Nominee,1995,Arthur Schwartz,NA,"WOR Radio, New York, NY",Arthur Schwartz with Food Talk
Best Radio Show,Winner,1995,Diane Worthington MS,NA,"KABC, Los Angeles, CA",California Foods
Best Radio Show,Nominee,1995,David M. Cane,NA,"WABC, New York, NY",The Food Show
Best Radio Show,Winner,1995,California Foods,NA,"KABC, Los Angeles, CA",California Foods
Best T.V. Cooking Series,Winner,1995,Charles Pinsky,NA,Maryland Public Television,Pierre Franey's Cooking in France
Best T.V. Cooking Series,Winner,1995,Pierre Franey,NA,Maryland Public Television,Pierre Franey's Cooking in France
Best T.V. Cooking Series,Nominee,1995,Jacques Pépin,NA,"KQED, San Francisco",Today's Gourmet with Jacques Pepin
Best Culinary Video,Winner,1995,Jacques Pépin,NA,"Julia Child and Jacques Pepin, Cooking in Concert",NA
Best T.V. Cooking Series,Winner,1995,Pierre Franey's Cooking in France,NA,Maryland Public Television,Pierre Franey's Cooking in France
Best Culinary Video,Winner,1995,Geoffrey Drummond,NA,"Julia Child and Jacques Pepin, Cooking in Concert",NA
Best T.V. Food Journalism,Nominee,1994,Karen Kapp,NA,WTVT,Tampa Bay's Talking Cuisine - Holiday Edition
Best Culinary Video,Nominee,1994,Peter Stein,NA,The de Medici Kitchen: A Culinary Journey,NA
Best T.V. Food Journalism,Nominee,1994,Chef Miles,NA,WTVT,Tampa Bay's Talking Cuisine - Holiday Edition
Best Culinary Video,Winner,1994,Peggy Lee Scott,NA,Today's Gourmet with Jacques Pepin,NA
Best Culinary Video,Nominee,1994,John Beyer,NA,Great Chefs Video,NA
Best Culinary Video,Nominee,1994,John Shoup,NA,Great Chefs Video,NA
Best Culinary Video,Nominee,1994,Michael Lerner,NA,The de'Medici Kitchen: A Culinary Journey,NA
Best Radio Show,Nominee,1994,Sherman Kaplan,NA,WBBM Newsradio 78,Sherman Kaplan Restaurant Review
Best T.V. Cooking Show,Winner,1994,Yan Can Cook,NA,PBS,Yan Can Cook
Best Culinary Video,Winner,1994,Jacques Pépin,NA,Today's Gourmet with Jacques Pepin,NA
Best T.V. Cooking Show,Nominee,1994,The Discovery Channel,NA,The Discovery Channel,Great Chefs Television
Best T.V. Food Journalism,Winner,1994,Burt Wolf,NA,WKNO-TV,Burt Wolf's Table
Best Radio Show,Winner,1994,Diane Worthington MS,NA,KABC,California Foods
Best Culinary Video,Winner,1994,Today's Gourmet with Jacques Pépin,NA,Today's Gourmet with Jacques Pépin,NA
Best T.V. Food Journalism,Nominee,1994,Carolyn ONeil,NA,CNN,On the Menu: Taste of Los Angeles
Best Radio Show,Nominee,1994,Piero Bondi,NA,KIEV-AM,Chef Piero Food & Wine Show
Best T.V. Food Journalism,Winner,1994,Burt Wolf's Table,NA,WKNO-TV,Burt Wolf's Table
Best Radio Show,Winner,1994,California Foods,NA,KABC,California Foods
Best T.V. Cooking Show,Nominee,1994,Julia Child,NA,PBS,Cooking With Master Chefs
Best T.V. Cooking Show,Winner,1994,Martin Yan,NA,PBS,Yan Can Cook
Best Culinary Video,Nominee,1994,Lorenza DeMedici,NA,The de Medici Kitchen: A Culinary Journey,NA
