INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
U. of Phoenix at Louisville (Ky.)Kentucky,192,110,0,0,54,5,1,73,10,46,3,70
Rensselaer at Hartford (Conn.)Connecticut,191,37,0,17,4,5,0,151,1,11,2,27
National American U. at Bellevue (Neb.)Nebraska,191,139,2,1,29,13,3,132,11,0,0,59
Art Institute of Washington at Dulles (Va.)Virginia,191,101,1,16,38,31,2,76,0,27,0,88
Skyline College at RoanokeVirginia,191,143,1,1,65,2,0,118,4,0,0,73
Strayer U.-Teays Valley (W.V.)West Virginia,191,123,4,0,11,5,0,164,4,3,0,24
ITT Technical Institute at Overland Park (Kan.)Kansas,190,59,4,7,38,14,0,120,5,2,0,68
Saint John's Seminary (Mass.)Massachusetts,190,53,0,11,1,8,0,150,1,0,19,21
ITT Technical Institute at Wichita (Kan.)Kansas,189,78,4,6,30,21,0,95,4,29,0,65
"Notre Dame Seminary, Graduate School of TheologyLouisiana",189,42,0,4,6,0,0,144,0,0,35,10
Platt College-North Oklahoma CityOklahoma,189,122,3,0,79,20,1,74,11,1,0,114
Northwest Career CollegeNevada,189,157,0,5,28,60,4,74,9,4,5,106
Hood Theological SeminaryNorth Carolina,188,86,2,0,151,0,0,35,0,0,0,153
West Virginia Junior College at BridgeportWest Virginia,188,159,0,0,6,0,0,181,1,0,0,7
College of the Muscogee NationOklahoma,188,120,187,0,0,1,0,0,0,0,0,188
ITT Technical Institute at Salem (Ore.)Oregon,188,36,3,7,7,20,0,135,11,5,0,48
Antonelli Institute of Art and PhotographyPennsylvania,188,131,0,4,12,6,0,149,17,0,0,39
MedTech College at Lexington (Ky.)Kentucky,186,172,0,0,58,2,0,121,4,1,0,64
Bakke Graduate U.Washington,186,76,0,15,96,11,6,51,4,2,1,132
Fortis Institute at Forty Fort (Pa.)Pennsylvania,186,90,1,1,12,13,0,135,4,20,0,31
Triangle Tech at Greensburg (Pa.)Pennsylvania,186,1,0,0,3,1,0,179,2,1,0,6
School of Automotive MachinistsTexas,185,0,1,2,14,23,2,137,5,0,1,47
Cankdeska Cikana Community CollegeNorth Dakota,185,115,143,0,1,1,1,39,0,0,0,146
Delaware College of Art and DesignDelaware,185,124,0,2,37,16,0,88,23,13,6,78
Globe U. at Green Bay (Wis.)Wisconsin,185,160,5,3,5,10,0,153,1,8,0,24
Spertus CollegeIllinois,185,118,0,0,50,8,0,127,0,0,0,58
Hellenic College-Holy Cross Greek Orthodox School of TheologyMassachusetts,183,43,0,0,0,3,0,166,0,0,14,3
Minnesota School of Business at RochesterMinnesota,183,121,1,2,3,7,1,115,1,53,0,15
National American U. at Burnsville (Minn.)Minnesota,183,127,2,11,45,7,0,108,9,1,0,74
Duluth Business U.Minnesota,182,158,4,1,4,0,1,172,0,0,0,10
Globe U.-Madison West (Wis.)Wisconsin,182,134,1,5,20,15,0,132,1,8,0,42
Meridian Career InstituteFlorida,182,170,1,1,56,33,0,91,0,0,0,91
McCormick Theological SeminaryIllinois,181,89,0,6,66,30,0,62,0,1,16,102
Centura College at Virginia Beach (Va.)Virginia,181,148,0,2,94,13,0,40,24,8,0,133
Union Presbyterian SeminaryVirginia,180,103,1,3,30,1,0,123,0,12,10,35
Remington College at Little Rock (Ark.)Arkansas,180,154,2,3,81,11,0,69,14,0,0,111
ITT Technical Institute at PittsburghPennsylvania,179,39,1,3,40,4,0,125,0,6,0,48
Saint Louis Christian CollegeMissouri,179,81,1,2,60,6,0,103,5,2,0,74
Ross Medical Education Center at Granger (Ind.)Indiana,179,173,0,1,44,24,0,102,8,0,0,77
Phoenix SeminaryArizona,178,46,3,5,11,10,0,139,8,2,0,37
Ohio Business College at ColumbusOhio,178,159,0,2,38,9,0,124,1,4,0,50
Blue Cliff College at GulfportMississippi,178,168,0,2,69,2,0,103,2,0,0,75
New Brunswick Theological SeminaryNew Jersey,178,112,0,11,120,9,0,35,0,0,3,140
Globe U. at La Crosse (Wis.)Wisconsin,178,138,2,4,1,5,2,159,0,5,0,14
Lutheran Theological Seminary at GettysburgPennsylvania,178,56,0,2,4,0,0,107,0,61,4,6
Careers UnlimitedUtah,177,175,0,4,1,7,4,154,7,0,0,23
CollegeAmerica at Flagstaff (Ariz.)Arizona,176,143,111,0,2,22,0,35,1,5,0,136
Bethel Seminary at San DiegoCalifornia,176,75,0,33,19,21,1,96,3,1,2,77
VanderCook College of MusicIllinois,176,81,0,17,11,27,0,109,5,5,2,60
Colorado School of Healing ArtsColorado,176,152,1,1,3,20,0,147,0,3,1,25
Aviator College of Aeronautical Science and TechnologyFlorida,176,15,0,24,7,37,0,46,3,2,57,71
Curtis Institute of MusicPennsylvania,176,86,0,32,8,2,0,73,0,0,61,42
ITT Technical Institute at Brooklyn Center (Minn.)Minnesota,176,42,1,16,45,2,0,79,1,32,0,65
Pacific School of ReligionCalifornia,175,91,1,9,23,7,2,87,4,23,19,46
San Joaquin College of LawCalifornia,175,84,1,18,8,54,1,91,0,2,0,82
Methodist Theological School in OhioOhio,175,99,0,7,23,3,0,114,1,24,3,34
ITT Technical Institute at Mechanicsburg (Pa.)Pennsylvania,175,39,3,0,27,21,0,106,7,11,0,58
FortisÊInstitute at Fort Lauderdale (Fla.)Florida,175,108,1,0,113,29,0,24,6,2,0,149
Boise Bible CollegeIdaho,175,86,3,1,2,9,0,150,3,6,1,18
Baptist U. of the AmericasTexas,174,81,0,1,4,115,0,14,0,0,40,120
ITT Technical Institute at Waco (Tex.)Texas,174,53,3,2,42,49,0,72,4,2,0,100
Pinnacle CollegeCalifornia,174,15,1,6,43,57,0,57,8,2,0,115
Oregon College of Art and CraftOregon,174,140,3,5,1,21,1,111,19,12,1,50
Antonelli College at CincinnatiOhio,173,136,0,1,116,0,0,47,0,9,0,117
IGlobal U.Virginia,173,38,0,8,4,0,0,0,0,0,161,12
Southeastern Bible CollegeAlabama,173,77,1,1,53,3,0,108,1,5,1,59
Southeastern College at JacksonvilleFlorida,173,113,0,1,78,10,0,80,4,0,0,93
U. of Southernmost FloridaFlorida,173,137,1,1,23,144,0,4,0,0,0,169
Trinity Episcopal School for MinistryPennsylvania,173,51,0,6,5,4,0,123,2,31,2,17
O'More College of DesignTennessee,172,148,3,8,9,6,0,128,0,18,0,26
Christian Theological SeminaryIndiana,172,110,0,0,45,4,0,117,0,0,6,49
Southwest U. of Visual Arts at TucsonArizona,172,90,5,1,8,51,0,82,0,25,0,65
Pacific States U.California,172,84,0,7,0,2,0,2,0,0,161,9
Design Institute of San DiegoCalifornia,171,156,0,12,9,30,0,105,0,1,14,51
Dongguk U.California,171,86,0,78,3,13,0,12,13,0,52,107
ITT Technical Institute at Dunmore (Pa.)Pennsylvania,171,33,1,0,21,10,0,126,2,11,0,34
Career Training Academy at New KensingtonPennsylvania,171,165,0,0,22,1,0,146,2,0,0,25
ITT Technical Institute at Douglasville (Ga.)Georgia,171,59,0,0,91,11,0,64,3,2,0,105
Atlanta Institute of Music and MediaGeorgia,170,14,0,1,59,6,0,74,2,28,0,68
ITT Technical Institute at Oakland (Calif.)California,170,42,1,21,62,47,0,24,5,10,0,136
International Professional School of BodyworkCalifornia,169,126,3,5,9,23,0,88,22,19,0,62
Brown College at Brooklyn Center (Minn.)Minnesota,169,135,0,4,26,3,1,9,1,125,0,35
Bidwell Training CenterPennsylvania,169,98,0,3,68,2,0,85,0,11,0,73
Louisville Presbyterian Theological SeminaryKentucky,169,98,1,5,33,5,0,123,0,0,2,44
Ross Medical Education Center at Bowling Green (Ky.)Kentucky,168,159,1,2,33,8,0,121,0,3,0,44
Golf Academy of America (Calif.)California,168,8,2,10,3,10,3,106,8,25,1,36
Long Island U. at RiverheadNew York,168,108,1,4,7,25,0,116,1,14,0,38
Oklahoma Technical CollegeOklahoma,168,27,5,0,45,8,1,95,0,14,0,59
Houston Graduate School of TheologyTexas,167,99,1,5,94,12,0,43,6,3,3,118
Virginia College at Lubbock (Tex.)Texas,167,151,0,0,30,92,0,36,3,6,0,125
Kaplan College at Riverside (Calif.)California,167,130,1,1,18,102,3,38,0,4,0,125
Centura College at Richmond (Va.)Virginia,167,156,0,2,119,8,0,19,18,1,0,147
Virginia Tech Carilion School of MedicineVirginia,167,72,0,44,1,3,0,98,7,13,1,55
Virginia Marti College of Art & DesignOhio,166,134,1,1,57,9,0,85,13,0,0,81
Dean Institute of TechnologyPennsylvania,166,3,0,0,67,0,0,99,0,0,0,67
Messenger CollegeTexas,166,36,1,1,91,12,0,51,5,5,0,110
ITT Technical Institute at Springfield (Mo.)Missouri,166,56,4,2,17,3,0,134,2,4,0,28
Sisseton-Wahpeton CollegeSouth Dakota,165,106,150,0,1,0,0,13,1,0,0,152
Southwestern Christian CollegeTexas,164,77,2,0,128,11,0,4,3,0,16,144
Globe U. at MinneapolisMinnesota,164,69,2,14,28,5,0,24,0,4,87,49
Vatterott College at Saint Joseph (Mo.)Missouri,164,124,2,1,14,4,1,124,2,16,0,24
Ecclesia CollegeArkansas,164,56,3,2,20,19,0,96,3,4,17,47
Rabbinical College Ohr Shimon YisroelNew York,164,0,0,0,0,0,0,164,0,0,0,0
Samaritan Hospital School of NursingNew York,164,146,0,5,8,3,0,148,0,0,0,16
Vatterott College-TulsaOklahoma,164,68,10,1,50,7,1,87,2,6,0,71
Yeshiva Ohr Elchonon Chabad/West Coast Talmudical SeminaryCalifornia,163,0,0,0,0,0,0,158,0,0,5,0
West Virginia Junior College at CharlestonWest Virginia,162,123,1,3,34,1,0,119,4,0,0,43
Gupton Jones College of Funeral ServiceGeorgia,162,85,0,0,88,0,0,74,0,0,0,88
Vatterott College-WichitaKansas,162,38,1,1,33,6,0,111,7,3,0,48
New Hope Christian College at Eugene (Ore.)Oregon,162,79,2,6,6,14,7,99,15,9,4,50
KD Studio-Actors ConservatoryTexas,162,84,1,7,45,27,1,57,7,16,1,88
Southwestern College (N.M.)New Mexico,162,149,5,1,1,16,0,107,9,23,0,32
Everest College at Portland (Ore.)Oregon,161,103,6,3,18,30,4,69,9,22,0,70
Appalachian School of LawVirginia,160,66,4,6,11,2,0,134,0,3,0,23
Miller-Motte Technical College at Gulfport (Miss.)Mississippi,160,144,5,0,88,4,0,61,2,0,0,99
New England School of AcupunctureMassachusetts,160,121,0,22,5,10,1,116,2,0,4,40
Great Lakes Christian CollegeMichigan,160,62,0,2,36,0,0,103,4,12,3,42
Dallas Nursing InstituteTexas,160,128,0,9,95,16,0,34,2,4,0,122
Miami-Jacobs Career College at DaytonOhio,159,124,0,0,81,3,0,70,1,4,0,85
Cambridge Junior CollegeCalifornia,159,152,4,8,12,68,0,63,1,3,0,93
Long Island U.-WestchesterNew York,158,132,0,3,18,29,0,71,0,36,1,50
Acupuncture and Massage CollegeFlorida,158,106,1,8,17,81,0,42,4,0,5,111
Mountain State CollegeWest Virginia,158,130,0,0,4,0,0,154,0,0,0,4
Fort Berthold Community CollegeNorth Dakota,158,105,145,0,2,2,0,7,1,1,0,150
Minneapolis Media InstituteMinnesota,157,36,2,6,21,7,1,91,10,19,0,47
Laurel Technical InstitutePennsylvania,157,109,0,0,40,3,0,114,0,0,0,43
American Baptist CollegeTennessee,157,47,0,0,153,1,0,3,0,0,0,154
Stevens-Henager College at St. George (Utah)Utah,157,96,15,2,1,13,0,100,2,24,0,33
Westwood College-DuPageIllinois,157,90,0,1,33,39,0,48,11,25,0,84
Clear Creek Baptist Bible CollegeKentucky,156,34,1,2,1,1,0,150,1,0,0,6
Cranbrook Academy of ArtMichigan,156,103,0,11,8,6,1,91,5,6,28,31
Aquinas Institute of TheologyMissouri,156,70,1,5,8,7,1,121,0,4,9,22
Fashion Institute of Design and Merchandising-Orange County (Calif.)California,156,146,1,18,3,40,4,71,10,5,4,76
Nightingale CollegeUtah,156,128,0,6,8,8,1,124,0,9,0,23
National American U. at Rochester (Minn.)Minnesota,155,114,1,0,24,7,0,106,15,1,1,47
New York College of Traditional Chinese MedicineNew York,155,83,0,108,6,5,0,17,4,1,14,123
Strayer U. at Metairie (La.)Louisiana,155,109,3,2,104,9,0,26,1,10,0,119
San Francisco Theological SeminaryCalifornia,155,63,0,15,22,5,1,63,1,12,36,44
Golf Academy of America (Ariz.)Arizona,154,3,1,0,2,7,0,60,5,79,0,15
Colorado Heights U.Colorado,154,91,0,15,7,6,0,9,0,2,115,28
Northeastern SeminaryNew York,154,65,0,5,47,4,0,86,2,4,6,58
Miami-Jacobs Career College at SpringboroOhio,154,135,2,2,15,6,0,121,4,4,0,29
Sh'or Yoshuv Rabbinical CollegeNew York,153,0,0,0,0,0,0,153,0,0,0,0
Sotheby's Institute of Art (N.Y.)New York,153,141,1,30,7,4,0,103,0,8,0,42
Globe U. at Eau Claire (Wis.)Wisconsin,153,126,0,4,0,2,0,144,1,2,0,7
Saint Paul School of TheologyKansas,153,61,6,7,16,3,1,89,3,0,28,36
Pennsylvania State U. Dickinson School of LawPennsylvania,153,75,1,4,10,7,0,111,10,5,5,32
Grace School of TheologyTexas,153,32,0,4,37,16,0,69,1,26,0,58
Hamilton Technical CollegeIowa,153,70,1,1,23,11,0,112,2,3,0,38
ETI Technical College of NilesOhio,152,84,0,2,40,2,0,108,0,0,0,44
Mount Angel SeminaryOregon,152,4,1,13,1,33,9,67,0,0,28,57
ITT Technical Institute at Myrtle Beach (S.C.)South Carolina,152,53,0,3,61,4,0,75,5,4,0,73
College of Health Care Professions at DallasTexas,152,114,1,3,62,51,1,31,3,0,0,121
ITT Technical Institute at St. Petersburg (Fla.)Florida,151,71,1,7,33,19,0,85,5,1,0,65
Remington College-Tampa CampusFlorida,151,96,0,0,48,39,2,55,7,0,0,96
Yeshiva Derech ChaimNew York,151,0,0,0,0,0,0,140,0,0,11,0
Lynchburg General Hospital School of NursingVirginia,151,139,0,0,21,1,1,128,0,0,0,23
Columbia College of NursingWisconsin,151,138,1,12,9,5,1,122,0,1,0,28
Brown College at Mendota Heights (Minn.)Minnesota,150,64,1,7,6,3,0,54,2,77,0,19
Eden Theological SeminaryMissouri,150,76,0,2,39,2,0,93,0,4,10,43
Taylor College (Fla.)Florida,150,107,0,1,30,16,3,95,3,2,0,53
MiSPPMichigan,150,113,0,5,22,2,0,118,2,0,1,31
Everest College-McLean (Va.)Virginia,149,135,0,5,58,52,2,12,10,10,0,127
Westminster Theological Seminary in CaliforniaCalifornia,149,8,0,27,2,10,1,76,4,11,18,44
Los Angeles Music AcademyCalifornia,147,43,3,7,7,19,1,43,5,33,29,42
National Career CollegeCalifornia,147,122,1,10,4,101,0,31,0,0,0,116
Triangle Tech at DuBois (Pa.)Pennsylvania,147,8,2,0,0,2,0,141,2,0,0,6
Everest Institute-Kendall (Fla.)Florida,147,104,1,6,18,96,0,12,2,12,0,123
Jose Maria Vargas U.Florida,147,139,0,0,0,142,0,0,0,0,5,142
ITT Technical Institute at Clive (Iowa)Iowa,147,24,0,4,21,12,0,102,4,4,0,41
Machzikei Hadath Rabbinical CollegeNew York,147,0,0,0,0,0,0,141,0,0,6,0
Ohio Valley College of TechnologyOhio,146,130,0,0,4,1,0,139,1,1,0,6
Academy of Chinese Culture and Health SciencesCalifornia,146,85,2,48,9,10,3,46,0,23,5,72
Hebrew CollegeMassachusetts,146,102,0,0,0,1,0,142,0,0,3,1
U. of Phoenix-Minneapolis/St. PaulMinnesota,146,77,1,7,17,7,2,67,5,38,2,39
Omaha School of Massage and Healthcare of Herzing U.Nebraska,146,124,1,0,19,8,0,115,1,2,0,29
Vatterott College-Spring Valley Campus (Neb.)Nebraska,145,100,3,0,42,12,0,82,2,4,0,59
Austin Presbyterian Theological SeminaryTexas,145,77,2,2,16,7,0,114,3,0,1,30
St. Joseph School of Nursing (N.H.)New Hampshire,144,129,0,4,24,9,0,105,2,0,0,39
Stevens Institute of Business & ArtsMissouri,143,130,0,1,94,2,0,46,0,0,0,97
SAE Institute of Technology-NashvilleTennessee,143,17,0,0,60,7,0,72,2,2,0,69
Florida College of Natural Health at BradentonFlorida,143,128,1,1,18,19,0,91,4,9,0,43
Fashion Institute of Design and Merchandising at San DiegoCalifornia,142,133,2,11,5,53,4,53,2,7,5,77
Faith Theological SeminaryMaryland,142,62,0,9,85,1,0,17,2,0,28,97
ITT Technical Institute at Madison (Wis.)Wisconsin,141,45,1,5,18,10,0,100,7,0,0,41
Middle Tennessee School of AnesthesiaTennessee,141,77,0,2,6,3,0,126,3,1,0,14
Saginaw Chippewa Tribal CollegeMichigan,141,91,119,0,3,3,0,16,0,0,0,125
Oak Hills Christian CollegeMinnesota,141,77,5,2,3,4,0,126,0,0,1,14
Pinnacle Career Institute-North Kansas City (Mo.)Missouri,140,77,1,2,13,13,0,105,5,1,0,34
Vatterott College-QuincyIllinois,140,60,5,1,5,3,1,98,2,25,0,17
Yeshiva Mikdash MelechNew York,140,0,0,0,0,0,0,140,0,0,0,0
School of Advertising ArtOhio,139,96,0,2,5,2,0,130,0,0,0,9
Atlantic Institute of Oriental MedicineFlorida,139,110,0,29,9,46,0,52,3,0,0,87
City College at HollywoodFlorida,138,94,1,2,52,44,1,33,5,0,0,105
National Massage Therapy Institute (Philadelphia)Pennsylvania,138,86,0,1,20,6,0,7,0,104,0,27
Globe U. at Sioux Falls (S.D.)South Dakota,138,112,2,2,5,7,1,97,0,24,0,17
Broadview U. at Salt Lake CityUtah,138,49,5,2,4,12,1,107,2,5,0,26
Huntsville Bible CollegeAlabama,138,73,0,0,136,0,0,2,0,0,0,136
Acupuncture and Integrative Medicine CollegeCalifornia,138,110,0,12,6,8,1,89,9,8,5,36
Baptist Missionary Association Theological SeminaryTexas,137,16,0,5,36,4,0,85,0,3,4,45
American College of Acupuncture and Oriental MedicineTexas,136,96,1,64,9,14,0,29,1,9,9,89
Cambria-Rowe Business College at JohnstownPennsylvania,136,110,0,0,14,0,0,117,5,0,0,19
Nebraska Christian CollegeNebraska,136,61,0,0,7,6,1,122,0,0,0,14
Boston Graduate School of PsychoanalysisMassachusetts,136,98,0,8,4,12,0,78,0,10,24,24
Infotech Career CollegeCalifornia,136,124,0,8,48,66,2,7,0,5,0,124
Institute of World PoliticsDistrict of Columbia,136,58,1,4,8,5,0,88,2,28,0,20
Minnesota School of Business at MoorheadMinnesota,135,101,1,0,2,6,0,116,1,8,1,10
Platt College at Lawton (Okla.)Oklahoma,135,128,12,0,35,19,1,59,0,9,0,67
Trine U. at Peoria (Ariz.)Arizona,135,82,2,5,8,36,0,72,4,8,0,55
Saint Joseph Seminary CollegeLouisiana,135,0,0,12,2,29,0,89,3,0,0,46
International Academy of Design and Technology at Troy (Mich.)Michigan,134,68,0,2,9,1,0,14,3,105,0,15
Platt College-Central Oklahoma CityOklahoma,134,121,6,4,21,28,0,73,1,1,0,60
WellSpring School of Allied Health at Kansas City (Mo.)Missouri,133,103,0,3,25,2,0,102,1,0,0,31
CollegeAmerica at Fort Collins (Colo.)Colorado,133,98,3,1,3,34,0,77,1,14,0,42
Phoenix Institute of Herbal Medicine and AcupunctureArizona,132,94,1,16,12,9,2,84,3,4,1,43
Oblate School of TheologyTexas,132,42,0,8,9,40,0,34,0,0,41,57
College of Business and Technology at Cutler BayFlorida,132,107,0,0,52,71,0,5,3,1,0,126
Kenrick-Glennon Seminary-Kenrick School of TheologyMissouri,132,0,0,7,0,2,0,112,0,0,11,9
Daymar Institute at Murfreesboro (Tenn.)Tennessee,131,99,0,3,28,9,0,84,7,0,0,47
Memorial School of NursingNew York,131,110,0,1,8,4,0,118,0,0,0,13
National College at Dayton (Ohio)Ohio,131,103,1,0,29,2,0,57,3,39,0,35
Eagle Gate College at Salt Lake CityUtah,131,98,1,0,0,8,0,79,1,42,0,10
Centura College at ChesapeakeVirginia,131,112,0,1,77,3,0,33,12,5,0,93
Minnesota School of Business at PlymouthMinnesota,130,106,2,2,5,6,0,103,1,11,0,16
New Life Theological SeminaryNorth Carolina,130,73,1,1,88,3,0,21,2,11,3,95
Colorado School of Traditional Chinese MedicineColorado,130,89,4,14,4,8,0,91,0,7,2,30
Paier College of ArtConnecticut,129,80,0,4,8,16,0,86,3,12,0,31
John A. Gupton CollegeTennessee,129,73,0,0,31,1,0,96,1,0,0,33
Rudolf Steiner CollegeCalifornia,129,115,0,5,1,6,0,65,1,23,28,13
United Theological Seminary of the Twin CitiesMinnesota,129,86,0,3,10,0,0,76,1,32,7,14
Yeshivas NovominskNew York,129,0,0,0,0,0,0,129,0,0,0,0
Temple Baptist CollegeOhio,129,22,4,13,4,0,0,104,4,0,0,25
Dallas Institute of Funeral ServiceTexas,128,75,1,0,36,24,0,67,0,0,0,61
East West College of Natural MedicineFlorida,128,106,5,6,9,17,0,77,10,4,0,47
Belanger School of NursingNew York,127,108,1,4,17,6,0,97,1,1,0,29
National College at CincinnatiOhio,127,110,0,0,105,1,0,12,1,7,1,107
Academy CollegeMinnesota,127,28,1,10,14,6,3,80,1,12,0,35
Little Priest Tribal CollegeNebraska,127,78,112,0,8,0,0,5,0,2,0,120
Broadview U. at Layton (Utah)Utah,126,94,3,2,1,16,2,95,1,6,0,25
Midwest College of Oriental Medicine at ChicagoIllinois,126,91,1,18,19,10,0,71,3,0,4,51
Metro Business College at Jefferson City (Mo.)Missouri,125,112,2,2,23,1,0,95,1,1,0,29
Texas County Technical Institute (Mo.)Missouri,125,118,0,0,0,0,0,125,0,0,0,0
West Virginia Business College at WheelingWest Virginia,125,108,0,0,6,0,0,119,0,0,0,6
Kehilath Yakov Rabbinical SeminaryNew York,125,0,0,0,0,0,0,125,0,0,0,0
Payne Theological SeminaryOhio,125,71,0,0,124,0,0,1,0,0,0,124
Advanced CollegeCalifornia,125,115,0,7,31,84,1,2,0,0,0,123
Institute for Clinical Social WorkIllinois,124,99,2,3,19,6,2,91,1,0,0,33
Wartburg Theological SeminaryIowa,123,68,1,1,5,2,0,110,2,1,1,11
Evangelical SeminaryPennsylvania,123,49,1,1,5,2,0,113,0,0,1,9
Fountainhead College of TechnologyTennessee,123,21,0,0,1,2,0,120,0,0,0,3
Southside Regional Medical Center Professional SchoolsVirginia,123,110,0,0,14,4,2,80,0,23,0,20
Globe U. at Wausau (Wis.)Wisconsin,122,100,1,3,2,2,0,111,0,3,0,8
Grace College of Divinity (N.C.)North Carolina,122,49,1,1,15,12,0,71,4,16,2,33
Unification Theological SeminaryNew York,122,44,0,13,30,8,0,22,6,7,36,57
Yeshiva Gedolah Imrei Yosef D'SpinkaNew York,122,0,0,0,0,0,0,122,0,0,0,0
ITT Technical Institute at Johnson City (Tenn.)Tennessee,121,26,1,1,10,1,0,104,3,1,0,16
International Business College-El Paso EastTexas,121,75,0,0,3,112,0,6,0,0,0,115
National American U.-Austin South (Tex.)Texas,121,80,0,0,32,42,0,37,10,0,0,84
Kaplan College at Jacksonville (Fla.)Florida,121,99,0,2,74,6,0,35,0,3,1,82
Southwest Acupuncture College (Colo.)Colorado,120,87,3,4,0,6,1,78,3,25,0,17
St. Vincent De Paul Regional SeminaryFlorida,120,4,0,8,4,36,0,54,0,0,18,48
CollegeAmerica-Stevens Henager CollegeIdaho,120,105,0,0,2,29,0,79,0,10,0,31
National Hispanic U.California,120,83,3,2,3,53,1,11,6,41,0,68
Talmudical Yeshiva of PhiladelphiaPennsylvania,120,0,0,0,0,0,0,113,0,0,7,0
Nebraska Indian Community CollegeNebraska,120,85,115,0,0,1,0,4,0,0,0,116
St. John's College (Ill.)Illinois,119,102,0,2,2,1,0,114,0,0,0,5
Ross Medical Education Center at Fort Wayne (Ind.)Indiana,119,114,2,0,23,9,0,83,1,1,0,35
Southern California U. School of Oriental Medicine and AcupunctureCalifornia,119,69,0,67,0,0,0,0,0,0,52,67
Metro Business College at Cape Girardeau (Mo.)Missouri,118,101,0,0,12,2,0,103,0,1,0,14
Savannah Law SchoolGeorgia,118,74,2,0,10,5,6,95,0,0,0,23
SAE Institute at ChicagoIllinois,118,12,3,1,54,22,0,33,0,4,1,80
Lancaster Theological SeminaryPennsylvania,118,67,0,0,41,3,0,74,0,0,0,44
National College at Youngstown (Ohio)Ohio,118,99,0,0,39,5,0,65,6,3,0,50
Hartford SeminaryConnecticut,117,62,0,7,20,0,0,61,5,12,12,32
Polytechnic U. of Puerto Rico at MiamiFlorida,117,66,0,0,3,113,0,1,0,0,0,116
Florida College of Integrative MedicineFlorida,116,86,0,17,14,27,1,49,2,4,2,61
South Florida Bible CollegeFlorida,116,38,0,0,50,7,2,32,2,0,23,61
Broadview U. at Boise (Idaho)Idaho,116,88,0,0,1,17,1,90,1,6,0,20
Sterling College (Vt.)Vermont,116,52,0,1,3,3,0,83,1,22,3,8
