show,synopsis
Network,"Howard Beale, news anchor-man, isn’t pulling in the viewers. In his final broadcast he unravels live on screen. But when ratings soar, the network seizes on their newfound populist prophet, and Howard becomes the biggest thing on TV."
The Illusionists - Magic Of The Holidays,"The mind-blowing spectacular of The Illusionists – Magic of the Holidays showcases the jaw dropping talents of the most incredible Illusionists on earth, alongside special guests Light Balance. The Illusionists has shattered box office records across the globe and dazzles audiences of all ages with a powerful mix of the most outrageous and astonishing acts ever seen on stage. This non-stop show is packed with thrilling and sophisticated magic of unprecedented proportions."
Celebrity Autobiography,"The Drama Desk Award-winning hit comedy show in which celebrities act out other celebrities' jaw-dropping memoirs verbatim comes to Braodway's Marquis Theatre three nights only this holiday season. After a decade of playing Off-Broadway and across the globe, Celebrity Autobiography conquers Broadway with a company including Tony Danza (December 10), Alec Baldwin (December 10), Mario Cantone, Rachel Dratch, Susan Lucci (December 10 and 17), Eugene Pack, Antoni Porowski (December 17), Dayle Refel, Cecily Strong (December 17), Michael Urie (December 17), and more!"
Ruben & Clay's First Annual Christmas Carol Family Fun Pageant Spectacular Reunion Show,"American Idol’s fan favorite odd couple give fans the reunion they have been asking for as the duo takes to the stage for this limited engagement holiday event. The extravaganza marks the first time Ruben and Clay have performed together on a national stage since their dramatic finale in 2003. In true holiday spirit, the duo also aims to give back with tickets benefiting the National Inclusion Project, the leading voice for the inclusion of children with disabilities. A family affair, the spectacular will see Ruben and Clay journey through a fusion of holiday music and entertainment featuring lighthearted comedy, astounding versatility and, as always, Ruben and Clay’s magnetic stage presence. Featuring everyone’s favorite Christmas songs, performed by two of America’s most beloved music icons, sprinkled with hilarious scenes and sketches and a live band, there is something for the entire family."
Choir Boy,"Following a hit Off-Broadway run at MTC's Studio Stage II, Choir Boy comes to Broadway. Playwright Tarell Alvin McCraney, the Oscar-winning screenwriter for Moonlight and a recipient of the MacArthur Fellowship Grant, makes is Broadway debut with this production helmed by Trip Cullman (Murder Ballad)."
Be More Chill,NA
Ain't Too Proud-The Life and Times of the Temptations,"After breaking house records at both Berkeley Rep and The Kennedy Center, Ain't Too Proud, written by three time Obie Award winner Dominique Morisseau (Pipeline, Skeleton Crew), directed by two-time Tony Award winner Des McAnuff (Jersey Boys), and featuring choreography by Tony nominee Sergio Trujillo (Jersey Boys, On Your Feet), now brings the untold story of this legendary quintet to irresistible life on Broadway. Get ready — cause here they come! This thrilling story of brotherhood, family, loyalty, and betrayal is set to the beat of the group’s treasured hits, including “My Girl,” “Just My Imagination,” “Papa Was a Rolling Stone,” and so many more."
Gary: A Sequel to Titus Andronicus,"It's the fall of the Roman Empire, and the years of bloody battles are over. The civil war has ended. The country has been stolen by madmen, and there are casualties everywhere. Two very lowly servants are charged with cleaning up the bodies. It’s only 400 B.C.—but it feels like the end of the world."
Hillary and Clinton,"Behind closed doors in the state of New Hampshire during the early days of 2008, a former First Lady named Hillary is in a desperate bid to save her troubled campaign for President of the United States. Her husband, Bill, sees things one way; her campaign manager, Mark, sees things another. If any of this sounds familiar, don’t be fooled; in a universe of infinite possibilities, anything can happen."
What the Constitution Means to Me,"Fifteen-year-old Heidi Schreck earned her college tuition money by winning Constitutional debate competitions across the United States. In her boundary-breaking new play, the Obie Award winner resurrects her teenage self in order to trace the profound relationship between four generations of women in her own family and the founding document that dictated their rights and citizenship."
Hadestown,"Welcome to Hadestown, where a song can change your fate. This acclaimed new musical by celebrated singer-songwriter Anaïs Mitchell and innovative director Rachel Chavkin (Natasha, Pierre & The Great Comet of 1812) is a love story for today… and always.Hadestown intertwines two mythic tales — that of young dreamers Orpheus and Eurydice, and that of King Hades and his wife Persephone — as it invites you on a hell-raising journey to the underworld and back. Mitchell’s beguiling melodies and Chavkin’s poetic imagination pit industry against nature, doubt against faith, and fear against love. Performed by a vibrant ensemble of actors, dancers and singers, Hadestown is a haunting and hopeful theatrical experience that grabs you and never lets go."
Oklahoma!,"A confident cowboy competes with a surly, mysterious farmhand for the honor of taking a lovely young farm woman to a dance in Rodgers and Hammerstein's 1943 musical adaptation of Green Grow the Lilacs."
Beetlejuice,"The ghost-with-the-most comes to life on stage in this hilarious new musical based on Tim Burton’s dearly beloved film. Directed by Alex Timbers (Moulin Rouge!), and starring a cast of Broadway's biggest talents — and even bigger sandworms — Beetlejuice features eye-popping sets, jaw-dropping choreography, and a score that’s out of this (Nether)world."
