"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"Williamson Home Page","Home Page Media Group, division of FW Publishing",https://williamsonhomepage.com,"Bill Freeman",No,Nashville,TN,"United States",English,,LLC,LLC,2009,6-10,51-60,21-30,0-10,11-20,"Originally-reported articles, Newsletters, Printed media",,"Website, Social media, Third party content platforms",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Investigative news, Hyperlocal community comings and goings",,"Business, Education & Schools, Government, Sports & Recreation, Transportation",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"We have been serving our community for 11 years and we see a more politically active community. We also created some competition in the market and our competitors stepped up.","Home Page Media Group was launched in 2009 when the owners began to publish a hyper-local daily online newspaper called Brentwood Home Page."
"Williamson Source",,https://williamsonsource.com,,No,Franklin,TN,"United States",English,,,"For Profit",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,"Williamson Source is your personal portal to all things Williamson County. Our goal is to make living here more delightful and fulfilling each day."
"Wilson Post","Main Street Media of Tennessee",https://www.wilsonpost.com/,,Yes,Lebanon,TN,"United States",English,,"For Profit","For Profit",2010,3-5,51-60,21-30,0-10,0-10,"Events, Newsletters, Originally-reported articles, Podcasts, Printed media, Video",,"Email, Podcast, Print, Social media, Website",,"County/Counties/Regional districts","Breaking News, Hyperlocal community comings and goings, Investigative news",,"Business, Education & Schools, Government, Local News, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Event sponsorship, Classifieds, Display, Email, Podcast Sponsorship, Print ads, Social Media, Video",,"We keep our community informed about what is happening - we let them know what their government is up to and keep an eye on elected officials, we share information about local businesses, events, we publish obituaries and we cover schools, including high school sports. We chronicle history and many readers clip articles and photos about friends and loved ones as well as stories that interest them.","The Wilson Post is the local weekly newspaper of Wilson County, Tenn. It focuses on local news, government, business, high school sports, events, people and more. The Post has been named best newspaper in its circulation division by the Tennessee Press Association twice in the past five years.
 "
"windsoriteDOTca News",,https://windsorite.ca,"Owen Wolter",No,Windsor,ON,Canada,English,,"Sole Proprietor/no specific tax status","S Corp",2010,3-5,51-60,21-30,0-10,0-10,"Originally-reported articles, Video, Social media-only content, Digital marketing services, Printed media, Events",,"Website, Social media, Third party content platforms, Print",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings",,"Business, Crime & Justice, Events in coverage area, Health & Medicine, Planning & Development",,,,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"windsoriteDOTca News has reshaped the local news landscape in our community by focusing on local event coverage, promotion of local businesses, and distribution of accurate information to the public.","windsoriteDOTca - windsor’s neighbourhood news, is Windsor Ontario’s #1, locally-owned, online newspaper.
Since launching in 2010, we’ve covered the news stories everyone has been talking about, have been a reliable, consistent source of daily news and have brought readers news as it breaks.
We’re Windsor’s online destination for what’s called hyperlocal news, that is, stories about what literally happens on a neighbourhood level — in your neighbourhood."
WisCommunity,,https://wis.community,"Steve Hanson",Yes,Menomonie,WI,"United States",English,,LLC,LLC,2016,1,51-60,11-20,11-20,0-10,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Social media, Third party content platforms",,"County/Counties/Regional districts","Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings",,"Environment, Events in coverage area, Food, Government, Politics",,,,"Programmatic advertising, Reader membership, Major individual gifts",,,"Reader membership",,"I don't have a paywall",,"Display, Video",,"We provide government transparency, development of ties between community organizations, survival information in the COVID-19 crisis.","Wiscommunity is an attempt to build on-line communities that are constructed from a collection of
micro-sites on the web. At the same time, Wiscommunity maintains the feel of a mailing list because
discussions can still take place purely through an email mechanism."
"Wisconsin Watch",,https://wisconsinwatch.org,,No,Madison,WI,"United States",English,,,"Not for Profit",2009,,,,,,,,,,,,,,,,,,,,,,,,,,,"The nonpartisan, nonprofit Wisconsin Center for Investigative Journalism is increasing the quality and quantity of investigative reporting in Wisconsin, while training current and future investigative journalists. Its work fosters an informed citizenry and strengthens democracy."
"Witness LA",,https://witnessla.com,,No,"Los Angeles",CA,"United States",English,,,"Not for Profit",2007,,,,,,,,,,,,,,,,,,,,,,,,,,,"WitnessLA is an independent, nonprofit, nonpartisan source of criminal justice news in the public interest.
We have a special focus on the ways that the juvenile justice and criminal justice systems affect the health and well-being of communities and their residents in Los Angeles and beyond."
"Worcester Sun",,https://worcester.ma,,No,Worcester,MA,"United States",English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worcester's newest source for news. Covering local people, local business and local causes in Central Massachusetts."
WyoFile,,https://www.wyofile.com,,No,Lander,WY,"United States",English,,,"Not for Profit",2008,,,,,,,,,,,,,,,,,,,,,,,,,,,"WyoFile is an independent, nonprofit, member-supported public-interest news service reporting on the people, places and policy of Wyoming."
"Your Tewksbury Today",,http://www.yourtewksburytoday.com,,No,,MA,"United States",English,,,"For Profit",2014,,,,,,,,,,,,,,,,,,,,,,,,,,,"Your Tewksbury Today is your daily source for Tewksbury news, essential information and fun!"
YourArlington.com,,https://yourarlington.com,"Bob Sprague",Yes,Arlington,MA,"United States",English,,LLC,LLC,2006,1,31-40,0-10,21-30,0-10,"Newsletters, Originally-reported articles",,"Social media, Syndicated feed or content partnerships, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Crime & Justice, Education & Schools, Entertainment & Arts, Environment, Government",,"Immigrant communities, LGBTQI communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"My site has become the main source of news and opinion in Arlingto, MA. The public relies on its accurate reports and thoughtful opinions., Since 2006, YourArlington has been the go-to site for town news and opinion.","YourArlington.com began as an experiment in community journalism dedicated to reporting news about Arlington, Mass., and the Arlington-related views of its residents. The experiment continues, but it is not unique -- it is part of a nationwide movement called ""citizen journalism."" The phrase gained currency through We the Media, a 2004 book by Dan Gillmor. This kind of journalism encourages members of a community to write about that community. The writing may be reporting, or it may be opinion."
YourDailyLocal.com,,https://yourdailylocal.com/,,Yes,Warren,PA,"United States",English,,LLC,LLC,2020,3-5,71-80,,0-10,0-10,"Originally-reported articles, Video",,"Aggregation, Email",,"Neighborhood(s), City/Town, County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings",,"Breaking News, Education & Schools, Local News, Sports & Recreation",,,,"Direct sold advertising",,,"Direct sold advertising",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Event sponsorship, Content Sponsorship, Display",,"We are a new site but our sports coverage (especially some of the video we produced) seems to have hit a cord with a community that couldn't go to games","Covering news and sports in Warren County, Pa
 "
YubaNet,,https://yubanet.com,"Susan Levitz, Pascale Fusshoeller",No,"Nevada City",CA,"United States",English,,"Sole Proprietor/no specific tax status","S Corp",1999,2,61-70,0-10,11-20,0-10,"Branded Merchandise, Events, News aggregation, Newsletters, Originally-reported articles, Radio, Video",,"Aggregation, Email, Owned and operated mobile app(s), Podcast, Radio, Social media, Syndicated feed or content partnerships, Text, Website",,"County/Counties/Regional districts","Breaking News, In-depth feature and explanatory reporting",,"Breaking News, Environment, Local News, Public Policy",,"LGBTQI communities, Low-income communities",,"Direct sold advertising, Reader subscriptions",,,"Direct sold advertising",,"I don't have a paywall",,Display,,"Wildfire coverage has been credited with saving lives, easing concerns. Local government reporting resulted in agencies starting to livestream meetings.","A digital native, we have delivered news to the Sierra Nevada since 1999."
