title,genres,release_date,release_country,movie_rating,review_rating,movie_run_time,plot,cast,language,filming_locations,budget
The Charnel House (2016),Horror| Thriller,4-Nov-16,USA,R,4.7,90 min,"Directed by Craig Moss. With Callum Blue, Nadine Velazquez, Makenzie Moss, Erik LaRay Harvey. A long abandoned slaughterhouse is transformed into modern lofts in a re-gentrified urban neighborhood. Soon after tenants move in they are tormented by a dark secret that has been trapped in the building for over 30 years.",Callum Blue|Nadine Velazquez|Makenzie Moss|Erik LaRay Harvey|Alden Tab|Danielle Lauder|Andy Favreau|Kate Linder|Neil Thackaberry|Joe Keery|Patrick M. Walsh|Dan Anders|Richard Fike|Ryan D. Martin|Elias Stimac,English,"Cleveland, Ohio, USA",NA
The Haunting in Connecticut 2: Ghosts of Georgia (2013),Drama| Horror| Mystery| Thriller,14-Mar-13,Singapore,R,5.3,101 min,"Directed by Tom Elkins. With Abigail Spencer, Chad Michael Murray, Katee Sackhoff, Emily Alyn Lind. A young family moves into a historic home in Georgia, only to learn they are not the house's only inhabitants. Soon they find themselves in the presence of a secret rising from underground and threatening to bring down anyone in its path.",Abigail Spencer|Morgana Shaw|Emily Alyn Lind|Chad Michael Murray|Grant James|Katee Sackhoff|Mary Louise Coffee|Lauren Pennington|Sam Polin|Lance E. Nichols|Jaren Mitchell|Cicely Tyson|Brad James|Wayne Pére|Hunter Burke,English,"Baton Rouge, Louisiana, USA","$9,000,000"
Alleluia! The Devil's Carnival (2016),Horror| Musical,29-Mar-16,USA,NA,7,97 min,"Directed by Darren Lynn Bousman. With Terrance Zdunich, Paul Sorvino, Adam Pascal, Marc Senter. Lucifer and his carnies are plotting against Heaven. This is how the war begins.",Terrance Zdunich|Paul Sorvino|Adam Pascal|Marc Senter|Emilie Autumn|Kevin 'ohGr' Ogilvie|Dayton Callie|Tech N9ne|Briana Evigan|Kayla Allen|Amy Argyle|Lauren Michelle Bishop|Barry Bostwick|Alexis Brandt|Alisa Burket,English,NA,"$500,000"
Don't Let Me Go (2013),Adventure| Fantasy| Horror,1-Oct-16,USA,NA,6.8,96 min,"Directed by Giorgio Serafini. With Natalia Dyer, Isabelle Fuhrman, James Le Gros, Peter Bogdanovich. An ailing father, who is about to undergo a potentially life-threatening surgery, takes his teenage kids into the woods to try and recapture their early closeness, before he and his wife divorced and everything changed. But the three are swept into a supernatural adventure, in which only their Father, Chris, ""The Healer,"" has the ability to control their destinies. Lost in a haunted forest from ...",Natalia Dyer|Isabelle Fuhrman|James Le Gros|Peter Bogdanovich|Joel Courtney|Trace Adkins|Holly Lynch|Tyler Chase|Gianni Capaldi|Lindsay Ayliffe|LaDon Drummond|Greg Lee|Charles Fathy|Rigo Nova|Marcus Chavez,English,"DuPont State Recreational Forest, North Carolina, USA","$2,000,000"
The Evil in Us (2016),Horror,29-Aug-17,USA,NOT RATED,5.7,90 min,"Directed by Jason William Lee. With Debs Howard, Danny Zaporozan, Behtash Fazlali, Ian Collins. While on a fourth of July holiday, six best friends fall victim to the insidious plan of a mysterious organization when they are unknowingly transformed into bloodthirsty cannibals.",Debs Howard|Danny Zaporozan|Behtash Fazlali|Ian Collins|Kylee Bush|Marina Pasqua|Tatyana Forrest|John Gillich|Robert Leaf|Gary Starkell|Becky Hachey|Jerome Velinsky|Matthew Mihaichuk|Patrick Gaites|Tirra Dent,English,NA,NA
7 Witches (2017),Horror| Thriller,14-Apr-17,USA,NOT RATED,3.6,75 min,"Directed by Brady Hall. With Persephone Apostolou, Danika Golombek, Megan Hensley, Macall Gordon. Carnage, death, and despair await the ignoble remnants of a persecuted family who assemble for the wedding of their daughter on the eve of an evil 100-year-old curse.",Persephone Apostolou|Danika Golombek|Megan Hensley|Macall Gordon|Mike Jones|Rory Ross|Ben Van Dusen|Lorraine Montez|Rod Pilloud|Bill Ritchie|Kay LaVergne Jaz|Nancy Frye|Kris Keppeler|Gordon Frye|Maureen Hawkins,English,"Seattle, Washington, USA",NA
Fanged Up (2017),Comedy| Horror,25-Aug-17,UK,NA,5.8,NA,"Directed by Christian James. With Lauren Socha, Steven Berkoff, Terry Stone, Lucy Pinder. A young rogue is thrown into prison for the weekend, unaware that the guards are blood-sucking vampires and the inmates are their victims.",Lauren Socha|Steven Berkoff|Terry Stone|Lucy Pinder|Vas Blackwood|Roland Manookian|Stephen Marcus|Stu Bennett|Ewen MacIntosh|Ian Reddington|Joe Egan|Amber Doig-Thorne|Danielle Harold|Dan Palmer|Arron Crascall,English,NA,NA
Restoration (2016),Horror,3-May-16,USA,NA,4,92 min,"Directed by Zack Ward. With Emily O'Brien, Adrian Gaeta, Zack Ward, Sarah Ann Schultz. During home renovations, a young couple release a fiery spirit seeking retribution. To save themselves and set the spirit free, they must uncover the dire truth. But nothing is as simple as it seems...",Emily O'Brien|Adrian Gaeta|Zack Ward|Sarah Ann Schultz|Anna Harr|Christian Ackerman|Alexandra Allbee|Lucy Angelo|Maddux Berry|Nevin Bolla|James Cullen Bressack|Dishion Buckner|Charles Chudabala|Serge Conus|Precious Douglas,English,NA,NA
The Atticus Institute (2015),Horror,5-Jan-15,USA,NOT RATED,5.5,83 min,"Directed by Chris Sparling. With Rya Kihlstedt, William Mapother, Sharon Maughan, Harry Groener. The story of a 1970's psychology lab in Pennsylvania where a case of demonic possession took place.",Rya Kihlstedt|William Mapother|Sharon Maughan|Harry Groener|John Rubinstein|Julian Acosta|Lou Beatty Jr.|Anne Betancourt|Ivar Brogger|Jake Carpenter|Heath Centazzo|Brian Chenoweth|Hannah Cowley|Aaron Craven|Michael A. Delia,English,"Linda Vista Hospital - 610 S. St. Louis Street, Los Angeles, California, USA","$1,000,000"
Open Grave (2013),Horror| Mystery| Thriller,3-Jan-14,USA,R,6.3,102 min,"Directed by Gonzalo López-Gallego. With Sharlto Copley, Thomas Kretschmann, Josie Ho, Joseph Morgan. A man wakes up in the wilderness, in a pit full of dead bodies, with no memory and must determine if the murderer is one of the strangers who rescued him, or if he himself is the killer.",Sharlto Copley|Thomas Kretschmann|Josie Ho|Joseph Morgan|Erin Richards|Max Wrottesley|Márta Szabó|Balázs Szitás|Zsuzsa Szabados|Tofi Seffer|Éva Botos|Kati Dombi|Araceli Sanz|Pedro De Santiago,English,Hungary,NA
Puppet Master: Axis Termination (2017),Fantasy| Horror| Sci-Fi| War,15-Sep-17,USA,NA,5.6,NA,"Directed by Charles Band. With Diana Prince, Jessica Morris, Robin Sydney, David DeCoteau. Since its inception in 1989, the ""Puppet Master Series"" has been our most celebrated, beloved, and enduring franchise. It's the most successful independent direct to video horror franchise of all time! With classic characters like Blade, Jester, Pinhead, Tunneler and Leech Woman returning to thrill dedicated fans and general audiences alike. For the 11th installment in the series, Charles Band ...",Diana Prince|Jessica Morris|Robin Sydney|David DeCoteau|Tonya Kay|Paul Logan|Lilou Vos|Jean Louise O'Sullivan|Kyle Devero|Kevin Scott Allen|Rob Vardaro|Pablo Guisa Koestinger|Mat Cruz|Tania Fox|Daniele Romer,English,NA,NA
Child Eater (2016),Horror,28-Oct-16,Iceland,NA,5.2,82 min,"Directed by Erlingur Thoroddsen. With Cait Bliss, Colin Critchley, Jason Martin, Dave Klasko. A simple night of babysitting takes a horrifying turn when Helen realizes the boogeyman really is in little Lucas' closet.",Cait Bliss|Colin Critchley|Jason Martin|Dave Klasko|Brandon Smalls|James Wilcox|Melinda Chilton|Andrew Kaempfer|Kara Durrett|Weston Wilson|Charlotte Patton|Hilary R. Walker,English,NA,NA
Halloween Awakening: The Legacy of Michael Myers (2012),Horror,31-Oct-12,USA,NA,5.9,47 min,"Directed by Michael Leavy. With Tom Kane, Michael Leavy, Michael Pio Carone, Isabelle Kay. Halloween Awakening is a direct sequel to Halloween Resurrection that picks up right where it left off. Halloween Awakening attempts to tie together all aspects and plots within the entire franchise. Halloween Awakening takes the two diverging story-lines within the franchise and combines them into one coherent legacy of Michael Myers.",Tom Kane|Michael Leavy|Michael Pio Carone|Isabelle Kay|Steven Della Salla|Mon Nizz|Krista Ayne|Kyle Mullins|Jason Leavy|Joseph Terranova|David Della Salla|Joseph Piraino|Angela Vallario|Johnny Collins|Matthew Piraino,English,NA,NA
Jack & Diane (2012),Drama| Horror| Romance,20-Apr-12,USA,R,4.5,110 min,"Directed by Bradley Rust Gray. With Riley Keough, Juno Temple, Kylie Minogue, Jackson Ning. Diane's feelings for Jack -- the girl she met over the summer -- begin to manifest themselves in terrifying ways when she learns that her friend will soon be moving away.",Juno Temple|Jackson Ning|Samantha Ives|Anika Jennie Ji|Michael Chernus|Riley Keough|Thysson George Williams|Rock Kohli|Neal Huff|Cara Seymour|Haviland Morris|Kylie Minogue|Zohren Weiss|Hayley Hunt|Lou Taylor Pucci,English,"New York, USA",NA
Banshee Chapter (2013),Horror| Sci-Fi| Thriller,12-Dec-13,USA,R,5.5,87 min,"Directed by Blair Erickson. With Katia Winter, Ted Levine, Michael McMillian, Corey Moosa. Journalist Anne Roland explores the disturbing links behind her friend's sudden disappearance, an ominous government research chemical, and a disturbing radio broadcast of unknown origin.",Katia Winter|Ted Levine|Michael McMillian|Corey Moosa|Monique Candelaria|Jenny Gabrielle|Vivian Nesbitt|Chad Brummett|William Sterchi|Alex Gianopoulos|J.D. Garfield|Kevin Wiggins|Cyd Schulte|Tone Forrest|Maud de Proost,English,"Albuquerque, New Mexico, USA","$950,000"
[REC] 4: Apocalypse (2014),Action| Horror,31-Oct-14,Spain,R,5.4,95 min,"Directed by Jaume Balagueró. With Manuela Velasco, Paco Manzanedo, Héctor Colomé, Ismael Fritschi. An ill-fated television reporter is rescued and sent on a voyage across the ocean, but she is followed by the deadly virus that has plagued her and numerous others.",Manuela Velasco|Paco Manzanedo|Héctor Colomé|Ismael Fritschi|Críspulo Cabezas|Mariano Venancio|María Alfonsa Rosso|Carlos Zabala|Cristian Aquino|Emilio Buale|Paco Obregón|Javier Laorden|Ramiro Blas|Ferran Terraza|Carlos Lasarte,Spanish,"Barcelona, Catalonia, Spain","€3,000,000"
Cyborg X (2016),Action| Horror| Sci-Fi,2016,USA,NA,4.6,90 min,"Directed by K. King. With Eve Mauro, Danny Trejo, Rocky Myers, Adam Johnson. After X-Corp, a radical weapons manufacturer, is taken over by a Cyber Virus, a group of survivors must fight to save humanity from the army of Machines the Virus now controls.",Eve Mauro|Danny Trejo|Rocky Myers|Adam Johnson|Jake Stormoen|Angie Papanikolas|Chalet Lizette Brannan|Jill Adler|Alan Bagh|Brian K. Ditch|Trevor Foisy|Paul Hunt|Danny James|Shona Kay|James C. Morris,English,NA,"$1,000,000"
Wildling (2017),Drama| Fantasy| Horror| Mystery,2017,USA,NA,NA,92 min,"Directed by Fritz Böhm. With Brad Dourif, Liv Tyler, Bel Powley, James Le Gros. A blossoming teenager uncovers the dark secret behind her traumatic childhood.",Liv Tyler|Brad Dourif|James Le Gros|Bel Powley|Mike Faist|Troy Ruptash|Brian Donahue|Patrick M. Walsh|Frank Deal|Charlotte Ubben|Kelly Lamor Wilson|Keenan Jolliff|Bhavesh Patel|Julia Rusatsky|Collin Kelly-Sordelet,English,"Bronx Zoo, Bronx, New York City, New York, USA",NA
Patrick (2013),Horror,14-Mar-14,USA,NOT RATED,4.9,96 min,"Directed by Mark Hartley. With Charles Dance, Rachel Griffiths, Sharni Vinson, Peta Sergeant. At a private clinic, a young nurse soon discovers that one of the comatose patients is quite sinister.",Charles Dance|Rachel Griffiths|Sharni Vinson|Peta Sergeant|Damon Gameau|Martin Crewes|Eliza Taylor|Simone Buchanan|Shane Nagle|Chris Fortuna|Rod Mullinar|María Mercedes|Camilla Jackson|Brendan Bacon|Carole-Ann Aylett,English,"Docklands Studios, Melbourne, Victoria, Australia",NA
Man Vs. (2015),Horror| Sci-Fi| Thriller,13-Nov-15,Canada,NA,5.5,87 min,"Directed by Adam Massey. With Chris Diamantopoulos, Chloe Bradt, Michael Cram, Kelly Fanson. A mysterious stalker plague a reality tv survivalist furring his five days alone for a new season of his show in the northern Ontario wilderness; and the figure may not be human.",Chris Diamantopoulos|Chloe Bradt|Michael Cram|Kelly Fanson|Sam Kalilieh|Alex Karzis|Constantine Meglis|Drew Nelson|Kate Ziegler,English,"Rockwood Conservation Area, Ontario, Canada",NA
Road Games (2015),Horror| Mystery| Thriller,4-Mar-16,USA,NOT RATED,5.7,95 min,"Directed by Abner Pastoll. With Andrew Simpson, Joséphine de La Baume, Frédéric Pierrot, Barbara Crampton. The sun drenched days of summer turn dark and ominous for hitchhiking duo Jack and Véronique when they become inexplicably entangled with a mysterious married couple and a local road kill collector in rural France.",Andrew Simpson|Joséphine de La Baume|Frédéric Pierrot|Barbara Crampton|Féodor Atkine|Pierre Boulanger|Susanna Cappellaro|Edward Hogg|Clémentine Alexandre|Erwan Hiernard|Lucie Belhomme|April Kelley,English|French,"Falconhurst, Kent, England, UK",NA
Alien Uprising (2012),Comedy| Horror| Sci-Fi,14-Dec-13,UK,R,3.1,101 min,"Directed by Dominic Burns. With Bianca Brigitte VanDamme, Andrew Shim, Sean Brosnan, Simon Phillips. The real ""battle"" is the insurgence within mankind itself.",Bianca Brigitte VanDamme|Sean Brosnan|Simon Phillips|Maya Grant|Jazz Lintott|Andrew Shim|Peter Barrett|Joey Ansah|Amelia Linney|Raji James|Sean Pertwee|Julian Glover|Jean-Claude Van Damme|Perry Fitzpatrick|Christian Howard,English,NA,"$2,500,000"
Rigor Mortis (2013),Action| Horror,6-Jun-14,USA,NOT RATED,6.3,103 min,"Directed by Juno Mak. With Anthony Chan, Siu-Ho Chin, Fat Chung, Kara Hui. A public housing tenement is plunged into a dark storm of supernatural chaos.",Anthony Chan|Siu-Ho Chin|Fat Chung|Kara Hui|Chun-Man Ko|Giselle Lam|Billy Lau|Hoi-Pang Lo|Richard Ng|Hee Ching Paw,Cantonese,NA,"HKD 15,000,000"
The Grinn (2017),Drama| Horror| Thriller,6-Oct-17,USA,NA,5.2,96 min,"Directed by Matthew Kalamane. With John Carroll, Sarah Leight, Michka Hawkins, Victor DiBartolomeo. A man awakens in an empty house that he is unable to leave. Battling fatigue, injury and amnesia, and guided only by a cryptic voice on his phone, he begins piecing together fractured memories of the events that led him to be trapped. With a terrifying presence confining him inside the house, he ultimately discovers a truth more horrifying than he could have ever imagined.",John Carroll|Sarah Leight|Michka Hawkins|Victor DiBartolomeo|Fred DiPietro|Annika Albert|Roman Samoan|Odin Seva'aetasi|Samantha Kelley|Jason Kilpatrick|Veronica Ripley|Heather C. Hampton Scott|Miki Zuniga,English,"Pacific Grove, California, USA",$300
ClownTown (2016),Horror| Thriller,30-Sep-16,USA,NA,3.9,86 min,"Directed by Tom Nagel. With Brian Nagel, Lauren Compton, Andrew Staton, Katie Keene. A group of friends get stranded in a seemingly deserted small town and find themselves stalked by a violent gang of psychopaths dressed as clowns.",Brian Nagel|Lauren Compton|Andrew Staton|Katie Keene|Jeff Denton|Greg Violand|Maryanne Nagel|Tom Nagel|Kaitlyn Sapp|David Greathouse|Chris Hahn|Ryan Pilz|Beki Ingram|Alan Tuskes|Christopher Lawrence Chapman,English,"Crestline, Ohio, USA",NA
Backtrack (2015),Drama| Horror| Mystery| Thriller,29-Jan-16,UK,R,5.9,90 min,"Directed by Michael Petroni. With Adrien Brody, Jenni Baird, Bruce Spence, Greg Poppleton. Psychologist Peter Bower's life is thrown into turmoil when he discovers a strange secret about his patients. Risking his own sanity, Peter delves into his past to uncover a terrifying secret which only he can put right. But is the reward worth risking more than a single life?",Adrien Brody|Jenni Baird|Bruce Spence|Greg Poppleton|Barbara Gouskos|Jill McKay|Sam Neill|Anna Lise Phillips|Chloe Bayliss|Emma O'Farrell|Malcolm Kennard|Matthew Sunderland|George Shevtsov|Robin McLeavy|Jesse Hyde,English,"Melbourne, Victoria, Australia",NA
The Stakelander (2016),Action| Horror,7-Feb-17,USA,TV-MA,5.3,81 min,"Directed by Dan Berk, Robert Olsen. With Connor Paolo, Nick Damici, Laura Abramsen, A.C. Peterson. When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.",Connor Paolo|Nick Damici|Laura Abramsen|A.C. Peterson|Steven Williams|Bonnie Dennison|Kristina Hughes|Zane Clifford|Jaime Bird|Nicole Garies|Blaine Hart|Kathryn Bracht|Alex Arsenault|Dylan Sthamann|Tim Lynchuk,English,"Regina, Saskatchewan, Canada",NA
A Field in England (2013),Drama| History| Horror| Mystery,5-Jul-13,UK,NOT RATED,6.3,90 min,"Directed by Ben Wheatley. With Julian Barratt, Peter Ferdinando, Richard Glover, Ryan Pope. Amid the Civil War in 17th-century England, a group of deserters flee from battle through an overgrown field. Captured by an alchemist, the men are forced to help him search to find a hidden treasure that he believes is buried in the field.",Julian Barratt|Peter Ferdinando|Richard Glover|Ryan Pope|Reece Shearsmith|Michael Smiley|Sara Dee,English,"Hampton Estate, Seale, Farnham, Surrey, England, UK","£316,000"
Stung (2015),Comedy| Horror,29-Oct-15,Germany,NOT RATED,5,87 min,"Directed by Benni Diez. With Matt O'Leary, Jessica Cook, Lance Henriksen, Clifton Collins Jr.. A fancy garden party turns into upper class prey when a colony of killer wasps mutates into seven foot tall predators.",Matt O'Leary|Jessica Cook|Lance Henriksen|Clifton Collins Jr.|Cecilia Pillado|Eve Slatner|Daniele Rizzo|Florentine Lahme|Kathleen Renish|Tony de Maeyer|David Masterson|Benedikt Bothe|Tommy Kreiselmaier|Benni Diez,English,"Börnicke, Germany","$2,500,000"
Something Wicked (2014),Drama| Horror| Mystery| Thriller,11-Apr-14,USA,R,4.8,NA,"Directed by Darin Scott. With Shantel VanSanten, Brittany Murphy, Julian Morris, James Patrick Stuart. As a young couple embarks upon their wedding plans, gruesome secrets from their past collide with sinister forces of the present to ensure these newlyweds do not live ""happily-ever-after.""",Shantel VanSanten|Brittany Murphy|Julian Morris|James Patrick Stuart|John Robinson|Katie O'Grady|Robert Blanche|Jerry L. Buxbaum|October Moore|Betty Moyer|Megan Lee Joy|Gilberto Martin del Campo|Taber Cross|Mona Leigh|Lance Rosen,English,"Eugene, Oregon, USA","$3,000,000"
