medal,beer_name,brewery,city,state,category,year
Bronze,The Commodore Perry India Pale,Great Lakes Brewing Co/Ohio,Chicago,IL,India Pale Ale,1992
Gold,Fest,Stoudt's Brewing Co.,Adamstown,PA,Marzen/Oktoberfest,1992
Gold,Export Gold,Stoudt's Brewing Co.,Adamstown,PA,Munchner Helles & Dortmunder X,1992
Silver,Golden Lager,Stoudt's Brewing Co.,Adamstown,PA,Munchner Helles & Dortmunder X,1992
Bronze,Hard Times Select,Old Dominion Brewing Co.,Ashburn,VA,Munchner Helles & Dortmunder X,1992
Gold,Boulder Porter,Rockies Brewing Co.,Boulder,CO,Porter,1992
Silver,Pleasure Point Porter,Seabright Brewery,Santa Cruz,CA,Porter,1992
Silver,Kidder's Scottish Ale,Kidders Brewpub,Fort Meyers,FL,Scottish Ale,1992
Gold,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Smoke Flavored,1992
Silver,Welcommen,Rogue Ales,Newport,OR,Smoke Flavored,1992
Bronze,Vermont Smoked Porter,Vermont Pub And Brewery,Burlington,VT,Smoke Flavored,1992
Silver,Greyhound Honey Ale,Flying Dog Brewery,Denver,CO,Specialty,1992
Silver,Imperial Stout,Pacific Coast Brewing Co.,Oakland,CA,Strong Ale,1992
Gold,Seabright Oatmeal Stout,Seabright Brewery,Santa Cruz,CA,Sweet Stout,1992
Silver,Zoser Stout,Oasis Brewery And Restaurant,Boulder,CO,Sweet Stout,1992
Bronze,Oatmeal Stout,Goose Island Beer Co.,Chicago,IL,Sweet Stout,1992
Gold,Moon Dog Ale,Great Lakes Brewing Co/Ohio,Cleveland,OH,Traditional Bitter,1992
Silver,Atlas Amber,Big Time Brewing Co.,Seattle,WA,Traditional Bitter,1992
Bronze,Anchor Steam Beer,Anchor Brewing Co.,San Francisco,CA,Vienna,1992
Gold,Alaskan Autumn Ale,Alaskan Brewing and Bottling Co.,Juneau,AK,Amber Ale/American Pale Ales,1991
Silver,Seabright Amber Ale,Seabright Brewery,Santa Cruz,CA,Amber Ale/American Pale Ales,1991
Bronze,90 Shilling Ale,Odell Brewing Co.,Fort Collins,CO,Amber Ale/American Pale Ales,1991
Gold,Adler Brau Amber,Appleton Brewing Co/Adler Brau,Appleton,WI,Amber/Viennas,1991
Silver,Schild Brau Amber,Millstream Brewing Co.,Amana,IA,Amber/Viennas,1991
Bronze,Stein Beer,Lakefront Brewery Inc,Milwaukee,WI,Amber/Viennas,1991
Gold,Tied House Dark,Redwood Coast Brewing Co.,Santa Cruz,CA,American Brown Ales,1991
Silver,Beaver Tail Brown Ale,Hubcap Brewery & Kitchen - Dallas,Dallas,TX,American Brown Ales,1991
Bronze,Santa Fe Nut Brown Ale,Santa Fe Brewing Co.,Santa Fe,NM,American Brown Ales,1991
Gold,Coors Dry,Coors Brewing Co.,Golden,CO,American Dry Lagers,1991
Silver,Michelob Dry,"Anheuser-Busch, Inc",Saint Louis,MO,American Dry Lagers,1991
Bronze,Stoney's Extra Dry,Jones Brewing Co.,Smithton,PA,American Dry Lagers,1991
Gold,Genesee Cream Ale,Genesee/High Falls Brewing,Rochester,NY,American Lager-Ales,1991
Silver,Northern Light,Long Trail Brewing Co.,Bridgewater Corners,VT,American Lager-Ales,1991
Gold,Pearl Lager Beer,Pabst Brewing Co.,San Antonio,TX,American Lagers,1991
Silver,Stoney's Beer,Jones Brewing Co.,Smithton,PA,American Lagers,1991
Silver,Stoney's Light,Jones Brewing Co.,Smithton,PA,American Light Lagers,1991
Gold,Old English 800,Pabst Brewing Co.,San Antonio,TX,American Malt Liquors,1991
Bronze,King Cobra,"Anheuser-Busch, Inc",Saint Louis,MO,American Malt Liquors,1991
Gold,Saranac,F.X. Matt Brewing Co.,Utica,NY,American Premium Lagers,1991
Silver,Leinenkugel Limited,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,American Premium Lagers,1991
Bronze,Oldenberg Premium Verum,Oldenberg Brewery/Drawbridge,Fort Mitchell,KY,American Premium Lagers,1991
Gold,Marin Weiss,Marin Brewing Co.,Larkspur,CA,American Wheats,1991
Silver,Wychick Wheat,Deschutes Brewery (No 2),Bend,OR,American Wheats,1991
Bronze,Mountain Wheat,Breckenridge Brewery Denver,Denver,CO,American Wheats,1991
Gold,Old Fog Horn Barley Wine,Anchor Brewing Co.,San Francisco,CA,Barley Wines,1991
Silver,Barley Wine,Hops Bistro And Brewery (No 1),Scottsdale,AZ,Barley Wines,1991
Bronze,Old Wooly Barley Wine,Big Time Brewing Co.,Seattle,WA,Barley Wines,1991
Gold,Lantern Bay Blonde,Heritage Brewing Co.,Dana Point,CA,Blonde/Golden Ales,1991
Silver,Tied House Dry,Redwood Coast Brewing Co.,Santa Cruz,CA,Blonde/Golden Ales,1991
Bronze,Drake's Gold,Lind Brewing Co.,San Francisco,CA,Blonde/Golden Ales,1991
Gold,Frankenmuth German Style Bock,Frankenmuth Brewery Inc,Frankenmuth,MI,Bocks,1991
Bronze,Adler Brau Bock,Appleton Brewing Co/Adler Brau,Appleton,WI,Bocks,1991
Silver,Pyramid Pale Ale,"Hart Brewing, Inc",Seattle,WA,Classic Pale Ales,1991
Bronze,Gray Whale Ale,Pacific Coast Brewing Co.,Oakland,CA,Classic Pale Ales,1991
Gold,Special Export,G. Heileman Brewing Co.,San Antonio,TX,Dortmund/Export/Specials,1991
Gold,Long Trail Ale,Long Trail Brewing Co.,Bridgewater Corners,VT,Dusseldorf Style Altbiers,1991
Bronze,Ad Astra Alt,Free State Brewing Co.,Lawrence,KS,Dusseldorf Style Altbiers,1991
Gold,Legacy Lager,Chicago Brewing Co.,Chicago,IL,European Classic Pilseners,1991
Silver,Sierra Nevada Summerfest,Sierra Nevada Brewing Co.,Chico,CA,European Classic Pilseners,1991
Bronze,Adler Brau Pilsener,Appleton Brewing Co/Adler Brau,Appleton,WI,European Classic Pilseners,1991
Gold,Blueberrry Ale,Marin Brewing Co.,Larkspur,CA,"Fruit, Vegetables",1991
Silver,Cherry Rail,Cherryland Brewpub,Sturgeon Bay,WI,"Fruit, Vegetables",1991
Bronze,Apricot Ale,San Andreas Brewing Co.,Hollister,CA,"Fruit, Vegetables",1991
Gold,Gartenbrau Weizen,Capital Brewery Co. Inc,Middleton,WI,German Wheats,1991
Silver,Weizen Beer,Hops Bistro And Brewery (No 1),Scottsdale,AZ,German Wheats,1991
Bronze,Hearty Weasel,Hubcap Brewery & Kitchen - Dallas,Dallas,TX,German Wheats,1991
Gold,Hoppy Holidaze Ale,Marin Brewing Co.,Larkspur,CA,"Herb, Spices",1991
Silver,Sigda's Green Chili Beer,CooperSmith's Pub,Fort Collins,CO,"Herb, Spices",1991
Gold,Banty Rooster India Pale Ale,Seabright Brewery,Santa Cruz,CA,India Pale Ales,1991
Silver,India Pale Ale,Breckenridge Brewery Denver,Denver,CO,India Pale Ales,1991
Bronze,Blue Heron Pale Ale,Mendocino Brewing Co.,Ukiah,CA,India Pale Ales,1991
Gold,Oktoberfest Maerzen,Stoudt's Brewing Co.,Adamstown,PA,Maerzen/Oktoberfests,1991
Silver,August Schell Oktoberfest,August Schell Brewing Co.,New Ulm,MN,Maerzen/Oktoberfests,1991
Gold,Adler Brau Lager,Appleton Brewing Co/Adler Brau,Appleton,WI,Munchner Helles,1991
Silver,Sun Valley Sawtooth Gold Lager,Sun Valley Brewing Co.,Hailey,ID,Munchner Helles,1991
Bronze,Coal Creek Porter,Big Time Brewing Co.,Seattle,WA,Porters,1991
Silver,Flying McDog,Flying Dog Brewery,Denver,CO,Scotch Ales,1991
Gold,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Smoke Flavored Beers,1991
Bronze,Vermont Smoked Porter,Vermont Pub And Brewery,Burlington,VT,Smoke Flavored Beers,1991
Gold,Spud Premier Beer,Barton Beers Ltd,Chicago,IL,Specialty Ales,1991
Gold,Steelhead Stout,Steelhead Brewery & Cafe,Eugene,OR,Stouts,1991
Silver,Adler Brau Oatmeal Stout,Appleton Brewing Co/Adler Brau,Appleton,WI,Stouts,1991
Bronze,Old Rip Oatmeal Stout,Big Time Brewing Co.,Seattle,WA,Stouts,1991
Gold,Eye Of The Hawk Special Ale,Mendocino Brewing Co.,Ukiah,CA,Strong Ales,1991
Silver,Jubelale,Deschutes Brewery (No 2),Bend,OR,Strong Ales,1991
Bronze,Brooklyn Brown Dark Ale,Brooklyn Brewery,Brooklyn,NY,Strong Ales,1991
Gold,Extra Bitter Special,Broad Ripple Brewing Co.,Indianapolis,IN,Traditional Bitters,1991
Bronze,Redhook ESB,Redhook Ale Brewery,Woodinville,WA,Traditional Bitters,1991
Gold,Alaskan Amber Beer,Alaskan Brewing and Bottling Co.,Juneau,AK,Alts,1990
Silver,Long Trail Ale,Long Trail Brewing Co.,Bridgewater Corners,VT,Alts,1990
Bronze,Amber Alt,Pacific Coast Brewing Co.,Oakland,CA,Alts,1990
Gold,Briedalveil Ale,Butterfield Brewing Co.,Fresno,CA,Amber Ales,1990
Silver,Alaskan Autumn Ale,Alaskan Brewing and Bottling Co.,Juneau,AK,Amber Ales,1990
Bronze,Celbration Ale,Sierra Nevada Brewing Co.,Chico,CA,Amber Ales,1990
Silver,Coors Winterfest,Coors Brewing Co.,Golden,CO,Amber/Viennas,1990
Bronze,Dominion Lager,Old Dominion Brewing Co.,Ashburn,VA,Amber/Viennas,1990
Gold,Genesee Cream Ale,Genesee/High Falls Brewing,Rochester,NY,American Lager-Ales,1990
Silver,Little Kings Cream Ale,Hudepohl-Schoenling Brewing Co.,Cleveland,OH,American Lager-Ales,1990
Gold,Rainer,G. Heileman Brewing Co.,San Antonio,TX,American Lagers,1990
Silver,Pabst Blue Ribbon,Pabst Brewing Co.,San Antonio,TX,American Lagers,1990
Bronze,Rough Rider Premium Beer,Dakota Brewing Co.,Grand Forks,ND,American Lagers,1990
Gold,Lowenbrau Light,Miller Brewing Co.,Milwaukee,WI,American Light Lagers,1990
Silver,Coors Light,Coors Brewing Co.,Golden,CO,American Light Lagers,1990
Bronze,Miller Reserve Light,Miller Brewing Co.,Milwaukee,WI,American Light Lagers,1990
Gold,Lowenbrau Dark,Miller Brewing Co.,Milwaukee,WI,American Premium Dark Lagers,1990
Silver,Henry Weinhard's Dark,Blitz-Weinhard Brewing Co.,Milwaukee,WI,American Premium Dark Lagers,1990
Gold,Coors Extra Gold,Coors Brewing Co.,Golden,CO,American Premium Lagers,1990
Silver,Lowenbrau,Miller Brewing Co.,Milwaukee,WI,American Premium Lagers,1990
Silver,Pyramid Wheaten Ale,"Hart Brewing, Inc",Seattle,WA,American Wheats,1990
Bronze,Doppelweizen,Redwood Coast Brewing Co.,Santa Cruz,CA,American Wheats,1990
Gold,Old Wooly Barley Wine,Big Time Brewing Co.,Seattle,WA,Barley Wines,1990
Silver,Old Dipsea Barley Wine,Marin Brewing Co.,Larkspur,CA,Barley Wines,1990
Bronze,Old Foghorn,Anchor Brewing Co.,San Francisco,CA,Barley Wines,1990
Gold,Prime Time Pale Ale,Big Time Brewing Co.,Seattle,WA,Blond/Golden Ales,1990
Silver,Burbank Bitter,Kelmers Brewhouse,Santa Rosa,CA,Blond/Golden Ales,1990
Bronze,Blonde Pilsner,Sun Valley Brewing Co.,Hailey,ID,Blond/Golden Ales,1990
Gold,Bock Octoberfest,Stoudt's Brewing Co.,Adamstown,PA,Bocks,1990
Silver,Oktoberfest,"Mill Brewery, Eatery & Bakery",Orlando,FL,Bocks,1990
Bronze,Hornet Trail,"Mill Brewery, Eatery & Bakery",Orlando,FL,Bocks,1990
Gold,Pacific Crest Ale,"Hart Brewing, Inc",Seattle,WA,Brown Ales,1990
Silver,Tied House Dark,Redwood Coast Brewing Co.,Santa Cruz,CA,Brown Ales,1990
Bronze,Bond Street Ale,Deschutes Brewery (No 2),Bend,OR,Brown Ales,1990
Gold,Samuel Adams Double Bock,Boston Beer Co.,Boston,MA,Doppelbocks,1990
Silver,Dusseldorfer Dopplebock,Weinkeller Brewery,Westmont,IL,Doppelbocks,1990
Gold,Michelob Dry,"Anheuser-Busch, Inc",Saint Louis,MO,Drys,1990
Silver,Bud Dry,"Anheuser-Busch, Inc",Saint Louis,MO,Drys,1990
Bronze,Rainier Dry,G. Heileman Brewing Co.,San Antonio,TX,Drys,1990
Gold,Gartenbrau Dark,Capital Brewery Co. Inc,Middleton,WI,European Dark/Munchner Dunkels,1990
Bronze,Durango Dark Lager,Durango Brewing Co.,Durango,CO,European Dark/Munchner Dunkels,1990
Gold,Samuel Adams Boston Lager,Boston Beer Co.,Boston,MA,European Pilsner,1990
Silver,German Pils,Sudwerk Privatbrauerei Hubsch,Davis,CA,European Pilsner,1990
Bronze,Crazy Ed's Arizona Pilsner,Black Mountain Brewing Co.,Cave Creek,AZ,European Pilsner,1990
Gold,Dortmunder,Great Lakes Brewing Co/Ohio,Westland,MI,Export/Specials,1990
Silver,Dortmunder Export,Stoudt's Brewing Co.,Adamstown,PA,Export/Specials,1990
Gold,Blueberry Ale,Marin Brewing Co.,Larkspur,CA,"Fruit, Vegetables",1990
Silver,Zele Lemon Dry Light,Zele International,Seattle,WA,"Fruit, Vegetables",1990
Bronze,Rasberry Wheat,Rubicon Brewing Co.,Sacramento,CA,"Fruit, Vegetables",1990
Gold,Hoppy Holidaze,Marin Brewing Co.,Larkspur,CA,"Herb, Spices",1990
Gold,Rubicon IPA,Rubicon Brewing Co.,Sacramento,CA,India Pale Ales,1990
Gold,Adler Brau Oktoberfest,Appleton Brewing Co/Adler Brau,Appleton,WI,Maerzen/Oktoberfests,1990
Bronze,Octoberfest,Sudwerk Privatbrauerei Hubsch,Davis,CA,Maerzen/Oktoberfests,1990
Gold,St. Ides,McKenzie River Partners,San Francisco,CA,Malt Liquors,1990
Silver,Olde English 800,Pabst Brewing Co.,San Antonio,TX,Malt Liquors,1990
Bronze,Mickey's Malt Liquor,G. Heileman Brewing Co.,San Antonio,TX,Malt Liquors,1990
Gold,Penn Light Lager,Pennsylvania Brewing Co.,Pittsburgh,PA,Munchner Helles,1990
Silver,Hopfen Helles Beer,Weeping Radish Restaurant,Manteo,NC,Munchner Helles,1990
Gold,Pale Ale,Sierra Nevada Brewing Co.,Chico,CA,Pale Ales,1990
Silver,Liberty Ale,Anchor Brewing Co.,San Francisco,CA,Pale Ales,1990
Bronze,Mirror Pond Pale Ale,Deschutes Brewery (No 2),Bend,OR,Pale Ales,1990
Gold,Coal Creek Porter,Big Time Brewing Co.,Seattle,WA,Porters,1990
Bronze,Charles River Porter,Cambridge Brewing Co.,Cambridge,MA,Porters,1990
Gold,Rauch,Rogue Ales,Newport,OR,Rauch,1990
Silver,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Rauch,1990
Gold,Our Holiday Ale,Sun Valley Brewing Co.,Hailey,ID,Scotch Ales,1990
Gold,Barney Flats Oatmeal Stout,Anderson Valley Brewing Co.,Boonville,CA,Stouts,1990
Silver,Killer Whale Stout,Pacific Coast Brewing Co.,Oakland,CA,Stouts,1990
Gold,Jubelale,Deschutes Brewery (No 2),Bend,OR,Strong Ales,1990
Silver,Eye Of The Hawk Special Ale,Mendocino Brewing Co.,Ukiah,CA,Strong Ales,1990
Bronze,Independence Ale,Kelmers Brewhouse,Santa Rosa,CA,Strong Ales,1990
Gold,Weizen,Stoudt's Brewing Co.,Adamstown,PA,Weizen,1990
Gold,Samuel Adams Boston Stock Ale,Boston Beer Co.,Boston,MA,Alts,1989
Silver,Sun Valley White Cloud Ale,Sun Valley Brewing Co.,Hailey,ID,Alts,1989
Gold,Full Sail Amber Ale,Full Sail Brewing Co.,Hood River,OR,Amber Ales,1989
Silver,1989 Autumn Ale,Alaskan Brewing and Bottling Co.,Juneau,AK,Amber Ales,1989
Bronze,Hope Red Rooster Ale,Hope Brewing Co.,Providence,RI,Amber Ales,1989
Gold,Hudepohl 14-K,Hudepohl-Schoenling Brewing Co.,Cleveland,OH,American Light Pilsners,1989
Silver,Michelob Light,"Anheuser-Busch, Inc",Saint Louis,MO,American Light Pilsners,1989
Bronze,Boston Lightship,Boston Beer Co.,Boston,MA,American Light Pilsners,1989
Gold,Busch,"Anheuser-Busch, Inc",Saint Louis,MO,American Pilsners,1989
Silver,Miller High Life,Miller Brewing Co.,Milwaukee,WI,American Pilsners,1989
Bronze,Budweiser,"Anheuser-Busch, Inc",Saint Louis,MO,American Pilsners,1989
Gold,Lowenbrau Dark Special,Miller Brewing Co.,Milwaukee,WI,American Premium Dark Pilsners,1989
Silver,Michelob Classic Dark,"Anheuser-Busch, Inc",Saint Louis,MO,American Premium Dark Pilsners,1989
Silver,Coors,Coors Brewing Co.,Golden,CO,American Premium Pilsners,1989
Gold,Old Foghorn Barley Wine,Anchor Brewing Co.,San Francisco,CA,Barley Wines,1989
Bronze,Summit Sparkling Ale,Summit Brewing Co.,Saint Paul,MN,Blond/Golden Ales,1989
Gold,Kessler Grand Teton Dopplebock,Kessler Brewing Co.,Helena,MT,Bock Beers,1989
Silver,Old German-Style Bock,Frankenmuth Brewery Inc,Frankenmuth,MI,Bock Beers,1989
Bronze,Dark Horse,Virginia Brewing Co.,Birmingham,AL,Bock Beers,1989
Gold,Full Sail Brown Ale,Full Sail Brewing Co.,Hood River,OR,Brown Ales,1989
Silver,Old Brown Dog Ale,The Northampton Brewery,Northamapton,MA,Brown Ales,1989
Gold,Little Kings Cream Ale,Hudepohl-Schoenling Brewing Co.,Cleveland,OH,Cream Ales,1989
Silver,Sun Valley Cream Ale,Sun Valley Brewing Co.,Hailey,ID,Cream Ales,1989
Gold,Bud Dry,"Anheuser-Busch, Inc",Saint Louis,MO,Dry Beers,1989
Silver,Diamond Head Dry,Honolulu Brewing Co.,Honolulu,HI,Dry Beers,1989
Bronze,Esquire Extra Dry Beer,Jones Brewing Co.,Smithton,PA,Dry Beers,1989
Silver,Erin Brew,Cleveland Brewing Co.,Cleveland,OH,European Ambers,1989
Silver,D'Agostino Fresh,Mammoth Brewing,New York,NY,European Pilsner,1989
Gold,Oldenberg Cherry Lager,Oldenberg Brewery/Drawbridge,Fort Mitchell,KY,Fruit Beer,1989
Silver,Tri-City Winter Warmer,Tri-City Brewing Co.,Bay City,MI,Fruit Beer,1989
Gold,Rubicon India Pale Ale,Rubicon Brewing Co.,Sacramento,CA,India Pale Ales,1989
Silver,Liberty Ale,Anchor Brewing Co.,San Francisco,CA,India Pale Ales,1989
Gold,St. Ides Premium Malt Liquor,McKenzie River Partners,San Francisco,CA,Malt Liquor,1989
Silver,Midnight Dragon Malt,Hudepohl-Schoenling Brewing Co.,Cleveland,OH,Malt Liquor,1989
Bronze,King Cobra,"Anheuser-Busch, Inc",Saint Louis,MO,Malt Liquor,1989
Silver,Helenbock Beer,Friends Brewing Co.,Kennesaw,GA,Muenchers,1989
Gold,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,Chico,CA,Pale Ales,1989
Silver,Post Road Real Ale,Old Marlborough Brewing Co.,Framingham,MA,Pale Ales,1989
Bronze,Mount Tamalpais Ale,Marin Brewing Co.,Larkspur,CA,Pale Ales,1989
Gold,Tower Dark,Butterfield Brewing Co.,Fresno,CA,Porters,1989
Silver,George Washington Porter,Boston Beer Co.,Boston,MA,Porters,1989
Gold,Sun Valley Our Holiday Ale,Sun Valley Brewing Co.,Hailey,ID,Scottish Ales,1989
Silver,Blue Whale Ale,Pacific Coast Brewing Co.,Oakland,CA,Scottish Ales,1989
Gold,San Quentin Breakout Stout,Marin Brewing Co.,Larkspur,CA,Stouts,1989
Silver,Sierra Nevada Stout,Sierra Nevada Brewing Co.,Chico,CA,Stouts,1989
Gold,Market Street Oktoberfest,Bohannon Brewing Co.,Nashville,TN,Vienna/Marzen/Octoberfest Beer,1989
Silver,Gartenbrau Octoberfest,Capital Brewery Co. Inc,Middleton,WI,Vienna/Marzen/Octoberfest Beer,1989
Bronze,Newman's Albany Amber,William S Newman Brewing Co.,Albany,NY,Vienna/Marzen/Octoberfest Beer,1989
Gold,Stoudt's Weizen,Stoudt's Brewing Co.,Adamstown,PA,Wheat Beers,1989
Bronze,Marin Weiss,Marin Brewing Co.,Larkspur,CA,Wheat Beers,1989
Gold,Chinook Alaskan Amber,Alaskan Brewing and Bottling Co.,Juneau,AK,Alts,1988
Silver,Iron Horse Alt,Devil Mountain Brewery,Cincinnati,OH,Alts,1988
Silver,Dixie Amber Light,Dixie Brewing Co. Inc,New Orleans,LA,American Light Pilsners,1988
Bronze,Coors Extra Gold,Coors Brewing Co.,Golden,CO,American Light Pilsners,1988
Gold,Busch,"Anheuser-Busch, Inc",Saint Louis,MO,American Pilseners,1988
Silver,Old Style,"Anheuser-Busch, Inc",Saint Louis,MO,American Pilseners,1988
Bronze,Miller Genuine Draft,Miller Brewing Co.,Milwaukee,WI,American Pilseners,1988
Gold,Michelob Dark,"Anheuser-Busch, Inc",Saint Louis,MO,American Premium Dark Pilseners,1988
Silver,Burghoff Dark,Joseph Huber Brewing Co.,Monroe,WI,American Premium Dark Pilseners,1988
Bronze,Killian Irish Red Lager,Coors Brewing Co.,Golden,CO,American Premium Dark Pilseners,1988
Gold,Signature,Stroh Brewery Co. (The),Milwaukee,WI,American Premium Pilseners,1988
Silver,Darryl's Original Premium Lager Beer,Gilbert Robinson Inc,Kansas City,MO,American Premium Pilseners,1988
Bronze,Leinenkugel Premium,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,American Premium Pilsners,1988
Silver,Sieben's Barley Wine,J.E. Siebel & Sons Co. Inc,Chicago,IL,Barley Wines,1988
Silver,12 Horse Ale,Genesee/High Falls Brewing,Rochester,NY,Blond/Golden Ales,1988
Gold,Sieben's Bock,J.E. Siebel & Sons Co. Inc,Chicago,IL,Bocks,1988
Silver,Bach's Bock,Eugene City Brewery,Eugene,OR,Bocks,1988
Bronze,Mai Bock,Sprecher Brewing Co.,Glendale,WI,Bocks,1988
Bronze,Tied House Amber,Redwood Coast Brewing Co.,Santa Cruz,CA,Brown Ales,1988
Gold,Little Kings Cream Ale,Hudepohl-Schoenling Brewing Co.,Cleveland,OH,Cream Ales,1988
Silver,Genesee Cream Ale,Genesee/High Falls Brewing,Rochester,NY,Cream Ales,1988
Bronze,James Page Private Stock,James Page Brewing Co.,Stevens Point,WI,European Ambers,1988
Gold,Gartenbrau Dark,Capital Brewery Co. Inc,Middleton,WI,European Darks,1988
Silver,Water Street Oktoberfest,Water Street Brewery,Waltham,MA,European Darks,1988
Gold,August Schell Pilsner,August Schell Brewing Co.,New Ulm,MN,European Pilsner,1988
Bronze,Hope Lager,Hope Brewing Co.,Providence,RI,European Pilsner,1988
Gold,T.W. Fisher's Centennial Pale Ale,Coeur D'Alene Brewing Co.,Coeur D'Alene,ID,Pale Ales,1988
Bronze,Calistoga Ale,Napa Valley Brewing Co.,Calistoga,CA,Pale Ales,1988
Gold,Anchor Porter,Anchor Brewing Co.,San Francisco,CA,Porters,1988
Silver,Chinook Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Porters,1988
Bronze,The Devil's Brew,Devil Mountain Brewery,Cincinnati,OH,Porters,1988
Gold,Humboldt Oatmeal Stout,Humboldt Brewery,Arcata,CA,Stouts,1988
Silver,Sierra Nevada Stout,Sierra Nevada Brewing Co.,Chico,CA,Stouts,1988
Bronze,Boulder Stout,Rockies Brewing Co.,Boulder,CO,Stouts,1988
Gold,Railroad Ale,Devil Mountain Brewery,Cincinnati,OH,Strong Ales,1988
Silver,Ankner's Best Bitter,Tap &amp; Growler,Chicago,IL,Strong Ales,1988
Gold,August Schell Weiss,August Schell Brewing Co.,New Ulm,MN,Wheat Beers,1988
Silver,Anchor Wheat Beer,Anchor Brewing Co.,San Francisco,CA,Wheat Beers,1988
Gold,Sierra Nevada Bigfoot Barley Wine Style Ale,Sierra Nevada Brewing Co.,Chico,CA,Ales,1987
Silver,Pete's Wicked Ale,Pete's Brewing Co.,San Antonio,TX,Ales,1987
Gold,Chinook Alaskan Amber,Alaskan Brewing and Bottling Co.,Juneau,AK,Alts,1987
Silver,Widmer Alt,Widmer Brothers Brewing Co.,Portland,OR,Alts,1987
Bronze,St. Stan's Dark Alt,Stanislaus Area Association,Modesto,CA,Alts,1987
Silver,Genesee Cream Ale,Genesee/High Falls Brewing,Rochester,NY,American Cream Ales,1987
Bronze,Portland Ale,Portland Brewing Co. (No 2),Portland,OR,American Cream Ales,1987
Gold,Koch's Golden Anniversary Beer,Genesee/High Falls Brewing,Rochester,NY,American Lagers,1987
Bronze,Augsburger Dark,Joseph Huber Brewing Co.,Monroe,WI,American Lagers,1987
Gold,"Leinenkugel, Jacob",Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,American Light Lagers,1987
Silver,Rainier Beer,G. Heileman Brewing Co.,San Antonio,TX,American Light Lagers,1987
Gold,Chesbay Double Bock,Chesapeake Bay Brewing Co.,Raleigh,NC,Bocks/Dopplebocks,1987
Silver,Kessler Bock,Kessler Brewing Co.,Helena,MT,Bocks/Dopplebocks,1987
Bronze,Augsberger Bock,Joseph Huber Brewing Co.,Monroe,WI,Bocks/Dopplebocks,1987
Gold,Golden Bear Dark Malt,Thousand Oaks Brewing Co.,Berkeley,CA,Continental Amber Lagers,1987
Bronze,Gartenbrau Dark,Capital Brewery Co. Inc,Middleton,WI,Continental Amber Lagers,1987
Gold,Samuel Adams Boston Lager,Boston Beer Co.,Boston,MA,Continental Pilsners,1987
Silver,Saranac 1888 All-malt Lager,F.X. Matt Brewing Co.,Utica,NY,Continental Pilsners,1987
Bronze,August Schell Pilsner,August Schell Brewing Co.,New Ulm,NY,Continental Pilsners,1987
Gold,Great Northern Porter,Summit Brewing Co.,Saint Paul,MN,Porters,1987
Silver,Boulder Porter,Rockies Brewing Co.,Boulder,CO,Porters,1987
Bronze,Yuengling Porter,D. G. Yuengling & Son Inc,Tampa,FL,Porters,1987
Gold,Boulder Stout,Rockies Brewing Co.,Boulder,CO,Stouts,1987
