name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Level headed Cocktail,Rum - Daiquiris,1 1/2 oz, Aged rhum agricole,1 oz, Cold brewed coffee,1/2 oz, Allspice liqueur (pimento dram),1/4 oz, Simple Syrup,2 oz, Angostura Bitters,,,Shake with ice and strain into snifter.,Brandy Snifter,8 to 12 ounces
La Vita Dulce,Rum - Daiquiris,1 1/2 oz, Spiced rum,3/4 oz, Mezcal,3/4 oz, Fresh Lime Juice,3/4 oz, Simple Syrup,, Ground cinnamon,,,Shake with ice and strain into chilled cocktail glass. Top with cinnamon.,Cocktail Glass,6 or more ounces
Hole-in-One Cocktail,Cocktail Classics,1 3/4 oz, Desmond & Duff Scotch Whisky,3/4 oz, Dry Vermouth,1/4 oz, Lemon Juice,1 oz, Orange Bitters,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Ko Adang,Rum - Daiquiris,2 oz, Dark rum,1 oz, Coconut rum,1/2 oz, Ginger liqueur,1/2 oz, Mango nectar,1/2 oz, Cream of coconut,1/2 oz," Fresh Lime Juice, lime wheel",Shake with ice and strain into ice-filled Collins glass. Garnish with lime.,Collins Glass,14 to 16 ounces
Knickerbocker Special Cocktail,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Triple Sec,1 oz, Fresh lemon juice,1 oz, Orange juice,1 oz, Raspberry Syrup,, Small pineapple slice,Shake with ice and strain into chilled cocktail glass. Garnish with pineapple.,Cocktail Glass,6 or more ounces
Hair Raiser Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston 100 proof Vodka,1/2 oz, Old Mr. Boston Rock and Rye,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Green Opal Cocktail,Cocktail Classics,1/2 oz, Old Mr. Boston Dry Gin,1/2 oz, Old Mr. Boston Anisette ,1 oz, Absinthe Substitute,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Jamaican Ginger,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Dark rum,1/2 oz, Falernum,1/2 oz, Fresh Lime Juice,4 oz, Angostura Bitters,," Ginger ale, lime wheel",Stir first five ingredients in ice-filled Collins glass. Top with ginger ale. Garnish with lime.,Collins Glass,14 to 16 ounces
Green Dragon Cocktail,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Old Mr. Boston Kummel,1/2 oz, Old Mr. Boston Green Creme de Menthe,1 1/2 oz, Old Mr. Boston Dry Gin,4 oz, Orange Bitters,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Grasshopper Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Green Creme de Menthe,3/4 oz, Old Mr. Boston White Creme de Cacao,3/4 oz, Light Sweet Cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Jamaican Crawler,Rum - Daiquiris,1 oz, Light Rum,1 oz, Melon liqueur,3 oz, Pineapple Juice,1 oz, Grenadine,,,,,Shake first three ingredients with ice and pour into Collins glass. Add grenadine and stir.,Collins Glass,14 to 16 ounces
Golden Slipper Cocktail,Cocktail Classics,3/4 oz, Yellow Chartreuse,2 oz, Old Mr. Boston Apricot Flavored Brandy,,,,,,,,,Stir with ice and strain into cocktail glass. Float an unbroken egg yolk on top.,Cocktail Glass,6 or more ounces
Jade,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Fresh Lime Juice,1/2 oz, Green creme de menthe,1/2 oz, Triple Sec,1/2 oz, Simple Syrup Scant,, Lime wheel,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces
Jacqueline,Rum - Daiquiris,2 oz, Dark rum,1 oz, Triple Sec,1 oz, Fresh Lime Juice,1 oz, Simple Syrup,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Jack Sparrow Flip,Rum - Daiquiris,2 oz, Dark rum,3/4 oz, Madeira,3/4 oz, Simple Syrup,1 oz, Egg,2 oz, Angostura Bitters,, Freshly grated nutmeg,Shake without ice. Then shake with ice and strain into highball glass. Top with nutmeg.,Highball Glass,7 to 10 ounces
Irresistible,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Sweet Vermouth,1/4 oz, Benedictine,1/4 oz, Fresh lemon juice,, Lemon twist,,,Shake and strain into cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Carroll Cocktail,Brandy,1 1/2 oz, Brandy,3/4 oz, Sweet Vermouth,, Maraschino cherry,,,,,,,Stir with ice and strain into chilled cocktail glass. Add cherry.,Cocktail Glass,6 or more ounces
Hush and Wonder,Rum - Daiquiris,1 oz, Creme de violette,2 oz, Light Rum,3/4 oz, Fresh Lime Juice,3/4 oz, Simple Syrup,3 oz, Grapefruit bitters,,,Pour creme de violette into chilled cocktail glass and swirl to coat; discard excess liqueur. Shake remaining ingredients with ice and strain into glass.,Cocktail Glass,6 or more ounces
Hurricane Leah,Rum - Daiquiris,1/4 oz," each Light Rum, Gin, Vodka, Blanco tequila, Blue curacao",1 oz, cherry-flavored brandy,1 1/2 oz, Simple Syrup,1 1/2 oz, Fresh lemon juice,3 oz, Fresh orange juice,, Orange wheel,"Pour ingredients, in order given, into ice-filled hurricane glass and stir. Garnish with orange wheel.",Hurricane Glass,14 to 20 ounces
Gimlet Cocktail,Cocktail Classics,1 oz, Rose's Lime Juice,1 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Dry Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Hurricane,Rum - Daiquiris,1 1/2 oz," each Dark rum, light rum",1 oz, Passion Fruit Syrup,1 oz, Lime Juice,3/4 oz, Orange juice,1/2 oz," each Simple Syrup, grenadine",," Orange half-wheel, maraschino cherry",Shake with ice and strain into ice-filled hurricane glass. Garnish with orange and cherry.,Hurricane Glass,14 to 20 ounces
Hop Toad,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Apricot-Flavored Brandy,1/2 oz, Fresh Lime Juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
The Holy Roller,Rum - Daiquiris,1 1/2 oz, Cachaca,3/4 oz, Fresh Lime Juice,1/2 oz, Honey Syrup,4 Fresh mint leaves,,2 oz, Angostura Bitters,1/2 oz," Champagne or sparkling wine, mint sprig",Shake first five ingredients with ice. Strain into chilled cocktail glass. Top with Champagne or sparkling wine. Garnish with mint.,Cocktail Glass,6 or more ounces
Hemingway's Nog,Rum - Daiquiris,1 1/2 oz, Dark rum,3/4 oz, Vanilla liqueur,1/4 oz, Simple Syrup,1 oz, Creme fraiche,3 oz," tiki bitters, such as Bittermen's Elemakule",, Freshly grated nutmeg,Shake with ice and strain into chilled cocktail glass. Top with nutmeg.,Cocktail Glass,6 or more ounces
Flying Scotchman Cocktail,Cocktail Classics,1 oz, Sweet Vermouth,1 oz, Desmond & Duff Scotch Whisky,1 oz, Bitters,1/4 oz, Sugar Syrup,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Flying Grasshopper Cocktail,Cocktail Classics,3/4 oz, Old Mr. Boston Green Creme de Menthe,3/4 oz, Old Mr. Boston White Creme de Cacao,3/4 oz, Old Mr. Boston Vodka,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Havana Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,1 1/2 oz, Pineapple Juice,1/4 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Harvest Nectar,Rum - Daiquiris,1 1/2 oz, Light Rum,1 oz, Pineapple Juice,1 oz, Cranberry Juice,1 oz, Orange juice,1 oz, Lemon-lime soda,,,Shake with ice and strain into ice-filled beer mug.,Beer Mug,10 to 12 ounces
Fancy Brandy Cocktail,Cocktail Classics,2 oz, Old Mr. Boston Five Star Brandy,1 oz, Bitters,1/4 oz, Old Mr. Boston Triple Sec,1/4 oz, Powdered Sugar,,,,,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Fallen Angel Cocktail,Cocktail Classics,1 oz, Juice of a Lime,1 1/2 oz, Old Mr. Boston Dry Gin,1 oz, Bitters,1/2 oz, Old Mr. Boston White Creme de Menthe,,,,,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
The Poncho,Tequila,2 oz, Reposado tequila,1/2 oz, Dry Vermouth,1/2 oz, Maraschino liqueur,2 oz, Peychaud's Bitters,, Maraschino cherry,,,Stir with ice and strain into chilled cocktail glass. Add cherry.,Cocktail Glass,6 or more ounces
Hai Karate,Rum - Daiquiris,2 oz, Dark rum,1 oz, Fresh Lime Juice,1 oz, Pineapple Juice,1 oz, Orange juice,1 oz, Maple Syrup,1 oz, Angostura Bitters,Shake with ice and strain into ice-filled Collins glass. Garnish with cherry/orange flag.,Collins Glass,14 to 16 ounces
Cara Sposa,Brandy,1 oz, Coffee-flavored brandy,3/4 oz, Triple Sec,1/2 oz, half-and-half,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Traditional Martini (Dry),Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,1 oz, Orange Bitters, Lemon twist,,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Pina Agave,Tequila,2 oz, Cucumber,1 1/2 oz, Blanco tequila,1 oz, Pineapple Juice,3/4 oz, Fresh lemon juice,1/2 oz, Agave nectar,," Lemon-lime soda, cucumber slice",Muddle 2 cucumber slices in mixing glass. Add the next four ingredients. Shake with ice and strain into chilled cocktail glass. Top with soda and garnish with cucumber slice.,Cocktail Glass,6 or more ounces
Grande Guignol,Rum - Daiquiris,1 1/2 oz, Dark rum,3/4 oz, Yellow Chartreuse,3/4 oz, Cherry Heering,3/4 oz, Fresh Lime Juice,, Lime wheel,,,Shake with ice and strain into chilled cocktail glass. Garnish with lime.,Cocktail Glass,6 or more ounces
Pancho Villa,Tequila,1 oz, Anejo tequila,3/4 oz, Aperol,3/4 oz, Sweet Vermouth,1 oz, Peach bitters,, Grapefruit twist,,,Stir with ice and strain into chilled cocktail glass. Garnish with grapefruit twist.,Cocktail Glass,6 or more ounces
Paloma (Natural),Tequila,2 oz, Blanco tequila,2 oz, Fresh white or ruby red grapefruit juice,, Soda water, Lime wedge,,,,,,Pour tequila and grapefruit juice into ice-filled Collins glass. Fill with soda water and stir briefly. Garnish with lime wedge.,Collins Glass,14 to 16 ounces
Golden Friendship,Rum - Daiquiris,1 oz, Light Rum,1 oz, Sweet Vermouth,1 oz, Amaretto, Ginger ale,,," Orange zest spiral, maraschino cherry",,,"Stir first three ingredients in ice-filled Collins glass with ice, then fill with ginger ale. Garnish with orange and cherry.",Collins Glass,14 to 16 ounces
Paloma,Tequila,2 oz, Blanco tequila,, Grapefruit-flavored soda,, Lime wedge,,,,,,,Pour tequila into ice-filled Collins glass. Fill glass with soda and stir briefly. Garnish with lime wedge.,Collins Glass,14 to 16 ounces
Pacific Sunshine,Tequila,For glass," Lemon wheel, coarse salt",1 1/2 oz, Blanco tequila,1 1/2 oz, Blue curacao,3/4 oz, Simple Syrup,3/4 oz, Fresh lemon juice,1 oz, Angostura Bitters,Rim chilled hurricane or parfait glass with lemon and salt; reserve lemon. Shake remaining ingredients with ice in mixing glass. Pour with ice into glass. Garnish with reserved lemon wheel.,Hurricane Glass,14 to 20 ounces
Golden Eclipse,Rum - Daiquiris,1 1/2 oz, Dark rum,1/4 oz, Amaro,1/2 oz, Fresh lemon juice,1 oz, Orange Bitters,3 oz, Sparkling apple cider,, Golden Delicious apple wedge,Shake first four ingredients with ice. Strain into chilled cocktail glass. Top with cider. Garnish with apple wedge perched on glass rim.,Cocktail Glass,6 or more ounces
Diplomat Cocktail,Cocktail Classics,1 1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,2 oz, Bitters,1/2 oz, Maraschino,,,,,Stir with ice and strain into cocktail glass. Serve with a half slice of lemon and a cherry.,Cocktail Glass,6 or more ounces
Oldest Temptation,Tequila,2 oz, Anejo tequila,1 oz, Apple juice,1/2 oz, Fresh lemon juice,1/2 oz, Triple Sec,1/4 oz, Simple Syrup,1 oz," Angostura Bitters, flamed lemon twist",Shake with ice and strain into chilled cocktail glass. Flame lemon twist and add.,Cocktail Glass,6 or more ounces
Ginger Grapefruit Rickey,Rum - Daiquiris,2 oz, Light Rum,2 oz, Fresh grapefruit juice,1 oz, Ginger liqueur,1/2 oz, Fresh Lime Juice,, Soda water,,,Shake first four ingredients with ice. Strain into ice-filled highball glass and top with soda water.,Highball Glass,7 to 10 ounces
Calvados Cocktail,Brandy,1 1/2 oz, Calvados,1 1/2 oz, Orange juice,3/4 oz, Triple Sec,1 oz, Orange Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Daiquiri Cocktail,Cocktail Classics,1 oz, Juice of a Lime,1 oz, Powdered Sugar,1 1/2 oz, Old Mr. Boston Rum,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
The Oaxaca Old-Fashioned,Tequila,1 1/2 oz, Reposado tequila,1/2 oz, Mezcal,1/4 oz, Agave nectar,2 oz, Angostura Bitters,," Orange twist, flamed",,,Stir with ice and strain into chilled old-fashioned glass. Flame orange twist and add.,Old-Fashioned Glass,6 to 8 ounces
Cuban Special Cocktail,Cocktail Classics,1 oz, Pineapple Juice,1/2 oz, Juice of a Lime,1 oz, Old Mr. Boston Rum,1/2 oz, Old Mr. Boston Triple Sec,,,,,Shake with ice and strain into cocktail glass. Decorate with stick of pineapple and a cherry.,Cocktail Glass,6 or more ounces
Gaugin,Rum - Daiquiris,2 oz, Light Rum,1/2 oz, Fresh lemon juice,1/2 oz, Fresh Lime Juice,1/2 oz, Passion Fruit Syrup,, Maraschino cherry,,,Combine ingredients with 1 cup crushed ice in blender on low speed. Serve in chilled old-fashioned glass. Add cherry.,Old-Fashioned Glass,6 to 8 ounces
The Nomad South,Tequila,2 oz, Blanco tequila,1 oz, Orange juice,1/2 oz, Blood orange juice,1/2 oz, Agave nectar,1/2 oz, Fresh Lime Juice,1 oz, Whiskey barrel bitters,Shake well with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Creole Lady Cocktail,Cocktail Classics,1 1/2 oz, Old Kentucky Tavern Bourbon Whiskey,1 1/2 oz, Madeira,1 oz, Grenadine,,,,,,,Stir with ice and strain into cocktail glass. Serve with one green and one red cherry.,Cocktail Glass,6 or more ounces
No. 8,Tequila,2 oz, Reposado tequila,3/4 oz, Palo cortado or oloroso sherry,1/2 oz, Honey liqueur,2 oz, Orange Bitters,, Lemon twist,,,Stir with ice and strain into chilled cocktail glass. Garnish with lemon twist.,Cocktail Glass,6 or more ounces
Fog Cutter,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Brandy,1/2 oz, Gin,1 1/2 oz, Fresh lemon juice,1 oz, each Orange juice and sweet sherry,1 1/2 oz, Almond or orgeat syrup,Shake first six ingredients with ice and strain into ice-filled Collins glass. Top with sherry.,Collins Glass,14 to 16 ounces
Mexicola,Tequila,2 oz, Blanco tequila,1/2 oz, Fresh Lime Juice, Cola,,,,,,,,Pour tequila and lime juice into ice-filled Collins glass. Fill with cola and stir.,Collins Glass,14 to 16 ounces
Floridita No. 3,Rum - Daiquiris,2 oz, Light Rum,3/4 oz, Fresh Lime Juice,1/2 oz, Grapefruit Juice,1/2 oz, Maraschino liqueur,1/2 oz, Simple Syrup,, Lime wheel,Shake with ice and strain into chilled champagne flute. Garnish with lime wheel.,Champagne Flute,6 to 8 ounces
Mexican Monk,Tequila,2 oz, Reposado tequila,1/2 oz, Dry Sherry,1/4 oz, Coffee liqueur,1/4 oz, Benedictine,, Lemon twist,,,Stir well with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Floridita No. 1,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Fresh Lime Juice,1/2 oz, Sweet Vermouth,1 oz, White creme de cacao,1 oz, Grenadine,, Lime twist,Shake with ice and strain into chilled cocktail glass. Add lime twist.,Cocktail Glass,6 or more ounces
Mexican Madras,Tequila,1 1/2 oz, Blanco tequila,2 oz, Cranberry Juice,1 oz, Orange juice,1/4 oz, Fresh Lime Juice,, Orange wheel,,,Shake with ice and strain into old-fashioned glass. Garnish with orange.,Old-Fashioned Glass,6 to 8 ounces
Cadiz,Brandy,1/4 oz, Blackberry-flavored brandy,1/4 oz, Dry Sherry,1/2 oz, Triple Sec,1/2 oz, half-and-half,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6 to 8 ounces
Chocolate Soldier Cocktail,Cocktail Classics,1/2 oz, Juice of a Lime,3/4 oz, Dubonnet,1 1/2 oz, Old Mr. Boston Dry Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Fireman's Sour,Rum - Daiquiris,2 oz, Light Rum,2 oz, Fresh Lime Juice,1/4 oz, Simple Syrup,1/4 oz, Grenadine,, Soda water (optional),," Lemon half-wheel, maraschino cherry","Shake first four ingredients with ice and strain into chilled old-fashioned glass. Fill with soda water, if desired. Garnish with lemon and cherry.",Old-Fashioned Glass,6 to 8 ounces
Fat Like Buddha,Rum - Daiquiris,2 oz, Dark rum,3/4 oz, Dubonnet Rouge,1/4 oz, Benedictine,1/4 oz, Triple Sec,," Orange twist, flamed",,,Stir with ice and strain into chilled cocktail glass. Flame orange twist and add.,Cocktail Glass,6 or more ounces
Cherry Blossom Cocktail,Cocktail Classics,1 1/2 oz, Old Mr. Boston Five Star Brandy,1/2 oz, Old Mr. Boston Wild Cherry Flavored Brandy,1 1/2 oz, Old Mr. Boston Triple Sec,1 1/2 oz, Grenadine,2 oz, Lemon Juice,,,Shake with ice and strain into cocktail glass with its rim moistened with cherry liqueur and dipped into powdered sugar. Add a Maraschino cherry.,Cocktail Glass,6 or more ounces
Fair-and-Warmer Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,3/4 oz, Sweet Vermouth,1/2 oz, Triple Sec,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Chelsea Sidecar Cocktail,Cocktail Classics,1/4 oz, Juice of a Lemon,3/4 oz, Old Mr. Boston Triple Sec,3/4 oz, Old Mr. Boston Dry Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Mexican Firing Squad,Tequila,2 oz, Blanco tequila,1 oz, Simple Syrup,3/4 oz, Fresh Lime Juice,1 oz, pomegranate molasses (available at Middle Eastern grocers),2 oz, Angostura Bitters,, Lime wheel,Shake and strain into ice-filled highball glass. Garnish with lime.,Highball Glass,7 to 10 ounces
Mexicana,Tequila,1/2 oz, Blanco tequila,1 oz, Fresh lemon juice,1/2 oz, Pineapple Juice,1 oz, Grenadine,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
El Presidente Cocktail No. 2,Rum - Daiquiris,1 1/2 oz, Light Rum,3/4 oz, Dry Vermouth,1 oz, Angostura Bitters,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Margarita Tequila,Shooters,," Lime wedge, coarse salt",1 1/2 oz, Blanco tequila,3/4 oz, Cointreau triple sec,3/4 oz, Fresh Lime Juice,,,,,Rim chilled cocktail glass with lime and salt. Shake remaining ingredients and ice and strain into glass.,Cocktail Glass,6 or more ounces
Lillypad,Tequila,1 1/2 oz, Blanco tequila,1/2 oz, each Lillet Blanc and Lillet Rouge,1 1/2 oz, Apple juice,3/4 oz, Fresh Lime Juice,1/4 oz, Agave nectar,, Blood orange wheel,Shake with ice and strain into chilled cocktail glass. Garnish with blood orange wheel.,Cocktail Glass,6 or more ounces
X. Y. Z. Cocktail,Cocktail Classics,1 oz, Lemon Juice,1/2 oz, Old Mr. Boston Triple Sec,1 oz, Old Mr. Boston Rum,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
La Ultima Palabra,Tequila,3/4 oz, Blanco tequila,3/4 oz, Fresh grapefruit juice,3/4 oz, Fresh Lime Juice,3/4 oz, Yellow Chartreuse,3/4 oz, Maraschino liqueur,, Grapefruit twist,Shake with ice and strain into chilled cocktail glass. Add grapefruit twist.,Cocktail Glass,6 or more ounces
La Perla,Tequila,1 1/2 oz, Reposado tequila,1 1/2 oz, Manzanilla sherry,3/4 oz, Pear liqueur, Lemon twist,,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Bull's Milk,Brandy,1 1/2 oz, Brandy,1 oz, Light Rum,1/4 oz, Simple Syrup,3 oz, Milk,," Freshly grated nutmeg, ground cinnamon",,,Shake with ice and strain into chilled Collins glass. Top with nutmeg and cinnamon.,Collins Glass,14 to 16 ounces
La Bomba,Tequila,," Lime wedge, superfine sugar",1 1/4 oz, Gold tequila,3/4 oz, Triple Sec,1 1/2 oz, Pineapple Juice,1 1/2 oz, Orange juice,2 oz," Grenadine, lime wheel",Rim chilled cocktail glass with lime wedge and sugar. Combine next four ingredients with ice and shake briefly. Pour with ice into glass. Add grenadine and garnish with lime wheel.,Cocktail Glass,6 or more ounces
